,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,-68000000.0,218000000.0,-62000000.0,27000000.0
Total Cash From Financing Activities,-366000000.0,-349000000.0,298000000.0,1132000000.0
Change To Operating Activities,2000000.0,-18000000.0,-166000000.0,-166000000.0
Net Income,567000000.0,224000000.0,1106000000.0,122000000.0
Change In Cash,1263000000.0,-559000000.0,416000000.0,1449000000.0
Repurchase Of Stock,-297000000.0,-149000000.0,-267000000.0,-267000000.0
Total Cash From Operating Activities,1629000000.0,-30000000.0,267000000.0,1020000000.0
Depreciation,84000000.0,76000000.0,73000000.0,99000000.0
Other Cashflows From Investing Activities,-2000000.0,-2000000.0,-1000000.0,17000000.0
Dividends Paid,-6000000.0,-161000000.0,-15000000.0,-14000000.0
Change To Inventory,317000000.0,380000000.0,-440000000.0,14000000.0
Change To Account Receivables,629000000.0,-818000000.0,-193000000.0,644000000.0
Other Cashflows From Financing Activities,-63000000.0,-39000000.0,580000000.0,-45000000.0
Change To Netincome,98000000.0,-92000000.0,-51000000.0,114000000.0
Capital Expenditures,-91000000.0,-125000000.0,-117000000.0,-167000000.0
Investments,,-55000000.0,-31000000.0,-103000000.0
Total Cashflows From Investing Activities,,-180000000.0,-149000000.0,-703000000.0
Net Borrowings,,,,1191000000.0
