,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,269605000.0,92479000.0,10311000.0,100596000.0,111703000.0,108297000.0,184543000.0,0.0,222989000.0,360977000.0
Change To Liabilities,28098000.0,28766000.0,-12332000.0,-21578000.0,27678000.0,19997000.0,-6072000.0,0.0,13164000.0,0.0
Investments,38047000.0,-51724000.0,-14114000.0,3141000.0,-3347000.0,-75661000.0,-2923000.0,-27140000.0,-27140000.0,
Total Cashflows From Investing Activities,-46729000.0,-267889000.0,-225308000.0,-242273000.0,-321338000.0,-434757000.0,-41588000.0,-828835000.0,-828835000.0,
Net Borrowings,993860000.0,-4318000.0,-4373000.0,-502739000.0,-3302000.0,846316000.0,-470437000.0,640000000.0,640000000.0,
Total Cash From Financing Activities,800731000.0,-187128000.0,-194569000.0,-679936000.0,-398978000.0,653015000.0,-885543000.0,452193000.0,452193000.0,
Change To Operating Activities,75167000.0,-72923000.0,106556000.0,-167443000.0,72468000.0,-97860000.0,45997000.0,32749000.0,32749000.0,
Change In Cash,1133077000.0,-226866000.0,-45460000.0,-770146000.0,-311903000.0,444641000.0,-580763000.0,20507000.0,20507000.0,
Total Cash From Operating Activities,379075000.0,228151000.0,374417000.0,152063000.0,408413000.0,226383000.0,346368000.0,397149000.0,397149000.0,
Depreciation,178733000.0,166995000.0,168580000.0,173028000.0,174038000.0,179657000.0,177829000.0,184024000.0,184024000.0,
Other Cashflows From Investing Activities,-9800000.0,6397000.0,6397000.0,10035000.0,10035000.0,10035000.0,10035000.0,16624000.0,16624000.0,
Change To Account Receivables,-15512000.0,-42554000.0,-6873000.0,16467000.0,-39068000.0,-38363000.0,-36309000.0,-26946000.0,-26946000.0,
Other Cashflows From Financing Activities,-20688000.0,-10570000.0,-17865000.0,-25274000.0,-24062000.0,-23485000.0,-248920000.0,-187807000.0,-187807000.0,
Change To Netincome,-156772000.0,54933000.0,108175000.0,50993000.0,61549000.0,54644000.0,-19620000.0,-28839000.0,-28839000.0,
Issuance Of Stock,93000.0,93000.0,1000.0,19643000.0,448000.0,448000.0,4186000.0,,,
Dividends Paid,-172275000.0,-172333000.0,-172332000.0,-171566000.0,-171551000.0,-170264000.0,-170372000.0,,,
Repurchase Of Stock,-166000.0,-63000.0,-63000.0,-63000.0,-63000.0,,,,,
