,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Net Income,462439000.0,582847000.0,521534000.0,872727000.0,505195000.0
Change To Liabilities,10482000.0,1353000.0,12627000.0,-4059000.0,0.0
Investments,140316000.0,-346619000.0,47283000.0,-114587000.0,
Total Cashflows From Investing Activities,-882044000.0,-1098876000.0,-1015091000.0,-613719000.0,
Net Borrowings,647505000.0,730946000.0,802194000.0,1230957000.0,
Total Cash From Financing Activities,55346000.0,82453000.0,-113379000.0,484322000.0,
Change To Operating Activities,-258495000.0,-108078000.0,-161412000.0,-31343000.0,
Issuance Of Stock,241000.0,13710000.0,13710000.0,3277000.0,
Change In Cash,85281000.0,133822000.0,52695000.0,1027443000.0,
Total Cash From Operating Activities,911979000.0,1150245000.0,1181165000.0,1156840000.0,
Depreciation,617547000.0,645649000.0,670276000.0,685985000.0,
Other Cashflows From Investing Activities,-15770000.0,-113070000.0,-1608000.0,-3403000.0,
Dividends Paid,-526578000.0,-587628000.0,-666294000.0,-688904000.0,
Change To Account Receivables,-55922000.0,-14471000.0,-81689000.0,-74568000.0,
Other Cashflows From Financing Activities,-65822000.0,-60865000.0,-262989000.0,-61008000.0,
Change To Netincome,135928000.0,42945000.0,219829000.0,-291902000.0,
