,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,,,-30000000.0,-30000000.0,-30000000.0,-30000000.0,-102000000.0
Change To Liabilities,-180000000.0,1275000000.0,1540000000.0,834000000.0,1037000000.0,1345000000.0,2155000000.0
Total Cashflows From Investing Activities,-566000000.0,-1039000000.0,-1047000000.0,-2582000000.0,-1515000000.0,-1855000000.0,-1916000000.0
Net Borrowings,111000000.0,-581000000.0,-2305000000.0,-1162000000.0,-1588000000.0,-1526000000.0,-1456000000.0
Total Cash From Financing Activities,123000000.0,4450000000.0,2692000000.0,-1016000000.0,-1549000000.0,-1381000000.0,-1257000000.0
Change To Operating Activities,-290000000.0,-259000000.0,-376000000.0,-716000000.0,-521000000.0,-993000000.0,-784000000.0
Issuance Of Stock,57000000.0,5117000000.0,5043000000.0,183000000.0,70000000.0,192000000.0,262000000.0
Net Income,104000000.0,331000000.0,270000000.0,438000000.0,1142000000.0,1618000000.0,2321000000.0
Change In Cash,559000000.0,5897000000.0,4898000000.0,-2178000000.0,-898000000.0,-131000000.0,1450000000.0
Effect Of Exchange Rate,38000000.0,86000000.0,234000000.0,-221000000.0,42000000.0,-42000000.0,38000000.0
Total Cash From Operating Activities,964000000.0,2400000000.0,3019000000.0,1641000000.0,2124000000.0,3147000000.0,4585000000.0
Depreciation,567000000.0,584000000.0,618000000.0,621000000.0,681000000.0,761000000.0,747000000.0
Change To Inventory,446000000.0,-67000000.0,180000000.0,-106000000.0,-581000000.0,-488000000.0,-534000000.0
Change To Account Receivables,-222000000.0,-314000000.0,-102000000.0,-24000000.0,-259000000.0,135000000.0,18000000.0
Other Cashflows From Financing Activities,-45000000.0,-86000000.0,-46000000.0,-37000000.0,-31000000.0,-47000000.0,-63000000.0
Change To Netincome,491000000.0,800000000.0,853000000.0,594000000.0,625000000.0,769000000.0,662000000.0
Capital Expenditures,-566000000.0,-1021000000.0,-1164000000.0,-2860000000.0,-1515000000.0,-1825000000.0,-1814000000.0
Other Cashflows From Investing Activities,122000000.0,122000000.0,122000000.0,6000000.0,,,
