,2020-06-27,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02
Change To Liabilities,-35329000.0,51559000.0,19367000.0,-1396000.0,54447000.0,188185000.0,-199835000.0,-8847000.0
Total Cashflows From Investing Activities,-23347000.0,-87978000.0,-29972000.0,-77361000.0,-227962000.0,-39635000.0,-284579000.0,-43780000.0
Total Cash From Financing Activities,229841000.0,670594000.0,-1141323000.0,-161035000.0,-311379000.0,-251383000.0,4249000.0,-316997000.0
Change To Operating Activities,-8027000.0,-6448000.0,-7329000.0,13207000.0,4520000.0,-182715000.0,5678000.0,-38003000.0
Issuance Of Stock,10464000.0,11328000.0,6867000.0,13939000.0,9558000.0,10877000.0,6218000.0,11650000.0
Net Income,96922000.0,136917000.0,201035000.0,298737000.0,285626000.0,319189000.0,216263000.0,212275000.0
Change In Cash,421282000.0,864013000.0,-765987000.0,163389000.0,-197779000.0,-47269000.0,-164341000.0,-16115000.0
Repurchase Of Stock,-82874000.0,-133528000.0,-160738000.0,-176602000.0,-314388000.0,-260319000.0,-302951000.0,-328011000.0
Effect Of Exchange Rate,507000.0,429000.0,1633000.0,-1144000.0,-8000.0,-1079000.0,-976000.0,-1218000.0
Total Cash From Operating Activities,214281000.0,280968000.0,403675000.0,402929000.0,341570000.0,244828000.0,116965000.0,345880000.0
Depreciation,122115000.0,123154000.0,124849000.0,85986000.0,89832000.0,89395000.0,92334000.0,89854000.0
Other Cashflows From Investing Activities,6330000.0,3251000.0,5696000.0,94000.0,4104000.0,7677000.0,-11772000.0,6637000.0
Change To Inventory,-7443000.0,49287000.0,-2993000.0,-29461000.0,-60314000.0,-26823000.0,-103110000.0,-45949000.0
Change To Account Receivables,41029000.0,-159037000.0,-22046000.0,48779000.0,-35752000.0,-167569000.0,32810000.0,62615000.0
Other Cashflows From Financing Activities,-3249000.0,-8456000.0,-708000.0,2878000.0,-5299000.0,-691000.0,-3088000.0,-636000.0
Change To Netincome,-2574000.0,83453000.0,78449000.0,-25527000.0,17751000.0,27081000.0,72673000.0,60771000.0
Capital Expenditures,-29832000.0,-43554000.0,-36119000.0,-77455000.0,-65248000.0,-47312000.0,-50433000.0,-50473000.0
Net Borrowings,305500000.0,801250000.0,-986744000.0,-1250000.0,-1250000.0,-1250000.0,304070000.0,
