,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,0.0,0.0,57488000.0,0.0,0.0,0.0,13355000.0
Total Cashflows From Investing Activities,-13314000.0,-28165000.0,-67864000.0,40143000.0,-11518000.0,-17521000.0,-110069000.0
Net Borrowings,-64800000.0,-85000000.0,33000000.0,-88000000.0,-27000000.0,-20000000.0,87000000.0
Total Cash From Financing Activities,-96890000.0,-127520000.0,-35775000.0,-141657000.0,-76237000.0,-66794000.0,-5471000.0
Change To Operating Activities,34631000.0,-13486000.0,-26143000.0,31001000.0,-27781000.0,-49002000.0,13012000.0
Net Income,75358000.0,79579000.0,62619000.0,92643000.0,98854000.0,93853000.0,65337000.0
Change In Cash,42247000.0,-39389000.0,3037000.0,18845000.0,11206000.0,-10873000.0,-12354000.0
Repurchase Of Stock,-54000.0,-190000.0,-190000.0,-9342000.0,-947000.0,-309000.0,-96000.0
Effect Of Exchange Rate,9642000.0,10461000.0,11498000.0,873000.0,-758000.0,-6264000.0,292000.0
Total Cash From Operating Activities,142809000.0,105835000.0,95178000.0,119486000.0,99719000.0,79706000.0,102894000.0
Depreciation,21925000.0,22404000.0,22403000.0,23596000.0,23306000.0,23617000.0,23686000.0
Dividends Paid,-26214000.0,-26214000.0,-24972818.0,-39389000.0,-40343000.0,-39945000.0,-35132000.0
Other Cashflows From Financing Activities,-5822000.0,-16306000.0,157000.0,-4926000.0,-7947000.0,-6540000.0,-3396000.0
Change To Netincome,10895000.0,17338000.0,1562000.0,-27754000.0,5340000.0,11238000.0,7299000.0
Capital Expenditures,-5767000.0,-5249000.0,-5539000.0,-7826000.0,-5403000.0,-6802000.0,-7163000.0
Other Cashflows From Investing Activities,879000.0,789000.0,-2357000.0,-253000.0,-21000.0,,163000.0
Change To Inventory,-10706000.0,-10706000.0,-10706000.0,,,,2644000.0
Change To Account Receivables,-12045000.0,-12045000.0,-12045000.0,,,,-22439000.0
