,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Change To Liabilities,30000000.0,64000000.0,-20000000.0,-60000000.0,125000000.0,51000000.0,-3000000.0,-62000000.0,47000000.0
Total Cashflows From Investing Activities,-65000000.0,-65000000.0,-126000000.0,-53000000.0,-220000000.0,165000000.0,-217000000.0,-87000000.0,-346000000.0
Total Cash From Financing Activities,-1141000000.0,-346000000.0,-663000000.0,-124000000.0,-327000000.0,-155000000.0,-724000000.0,-1664000000.0,-274000000.0
Change To Operating Activities,7000000.0,-9000000.0,-9000000.0,-2000000.0,1000000.0,-20000000.0,-4000000.0,-1000000.0,-2000000.0
Issuance Of Stock,3000000.0,3000000.0,24000000.0,17000000.0,28000000.0,1000000.0,5000000.0,12000000.0,2000000.0
Net Income,72000000.0,283000000.0,292000000.0,681000000.0,1028000000.0,482000000.0,416000000.0,771000000.0,788000000.0
Change In Cash,-815000000.0,197000000.0,-345000000.0,521000000.0,761000000.0,669000000.0,-447000000.0,-794000000.0,526000000.0
Repurchase Of Stock,,,-26000000.0,-26000000.0,-26000000.0,-26000000.0,-74000000.0,-118000000.0,-141000000.0
Total Cash From Operating Activities,391000000.0,608000000.0,444000000.0,698000000.0,1308000000.0,659000000.0,494000000.0,957000000.0,1146000000.0
Depreciation,117000000.0,115000000.0,117000000.0,118000000.0,120000000.0,118000000.0,121000000.0,122000000.0,119000000.0
Dividends Paid,-127000000.0,-127000000.0,-127000000.0,-127000000.0,-128000000.0,-127000000.0,-127000000.0,-134000000.0,-1218000000.0
Change To Inventory,74000000.0,-27000000.0,-27000000.0,-60000000.0,9000000.0,-4000000.0,-22000000.0,-87000000.0,29000000.0
Change To Account Receivables,-30000000.0,-80000000.0,51000000.0,-139000000.0,-113000000.0,205000000.0,-10000000.0,-238000000.0,198000000.0
Other Cashflows From Financing Activities,-3000000.0,-1000000.0,-4000000.0,-14000000.0,-2000000.0,-3000000.0,-3000000.0,-18000000.0,-1000000.0
Change To Netincome,139000000.0,184000000.0,78000000.0,40000000.0,22000000.0,-30000000.0,-10000000.0,342000000.0,50000000.0
Capital Expenditures,-11000000.0,-9000000.0,-440000000.0,-22000000.0,-159000000.0,-7000000.0,133000000.0,-20000000.0,-293000000.0
Net Borrowings,-1138000000.0,-348000000.0,-556000000.0,-225000000.0,-225000000.0,-150000000.0,-150000000.0,-322000000.0,
Other Cashflows From Investing Activities,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,1000000.0,1000000.0,
