,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,312885000.0,450954000.0,462324000.0,550408000.0,595454000.0,632075000.0,609872000.0,729774000.0,683258000.0,638024000.0
Capital Surplus,9443274000.0,10711119000.0,11730970000.0,12994748000.0,14194023000.0,14727735000.0,16195256000.0,16934094000.0,17149571000.0,17639434000.0
Total Liab,9000132000.0,9575551000.0,9384100000.0,10452384000.0,10837033000.0,11586597000.0,11186123000.0,12663640000.0,12781917000.0,13113235000.0
Total Stockholder Equity,9431440000.0,10701814000.0,11725712000.0,12990406000.0,14191022000.0,14723238000.0,16189542000.0,16929981000.0,17139335000.0,17616335000.0
Minority Interest,1637536000.0,1633306000.0,1718066000.0,1791556000.0,1990795000.0,2248883000.0,2843708000.0,3250635000.0,3322801000.0,3639044000.0
Deferred Long Term Liab,288111000.0,277104000.0,296797000.0,317242000.0,342710000.0,350451000.0,422192000.0,502272000.0,515316000.0,540556000.0
Other Current Liab,133681000.0,143040000.0,150982000.0,160779000.0,170647000.0,173560000.0,183847000.0,187701000.0,192571000.0,193623000.0
Total Assets,20069108000.0,21910671000.0,22827878000.0,25234346000.0,27018850000.0,28558718000.0,30219373000.0,32844256000.0,33244053000.0,34368614000.0
Common Stock,1246000.0,1333000.0,1367000.0,1457000.0,1507000.0,1532000.0,1580000.0,1614000.0,1615000.0,1626000.0
Other Current Assets,61696000.0,148305000.0,110701000.0,221360000.0,204300000.0,234935000.0,254762000.0,213159000.0,153144000.0,392358000.0
Other Liab,817810000.0,965015000.0,1039061000.0,1085317000.0,1147907000.0,1219847000.0,1262249000.0,1377789000.0,1476901000.0,1525974000.0
Treasury Stock,-13080000.0,-10638000.0,-6625000.0,-5799000.0,-4508000.0,-6029000.0,-7294000.0,-5727000.0,-11851000.0,-24725000.0
Other Assets,738058000.0,926968000.0,1097468000.0,1145230000.0,1314651000.0,1574338000.0,1989122000.0,612845000.0,629027000.0,650843000.0
Cash,206860000.0,446255000.0,568532000.0,492184000.0,323876000.0,325872000.0,361348000.0,775060000.0,420258000.0,533824000.0
Total Current Liabilities,378323000.0,467535000.0,458326000.0,498153000.0,488427000.0,737966000.0,749354000.0,596162000.0,633305000.0,658969000.0
Other Stockholder Equity,-13080000.0,-10638000.0,-6625000.0,-5799000.0,-4508000.0,-6029000.0,-7294000.0,-5727000.0,-11851000.0,-24725000.0
Property Plant Equipment,16368634000.0,17509151000.0,17874042000.0,20055708000.0,21392051000.0,22516495000.0,24158764000.0,27839517000.0,28695708000.0,29506414000.0
Total Current Assets,1004208000.0,1361861000.0,1450581000.0,1515261000.0,1393789000.0,1467195000.0,1546568000.0,1962563000.0,1541012000.0,1910127000.0
Long Term Investments,1645323000.0,1661737000.0,1943463000.0,1967739000.0,2322905000.0,2368615000.0,1915047000.0,1699557000.0,1695048000.0,1663206000.0
Net Tangible Assets,9118555000.0,10250860000.0,11263388000.0,12439998000.0,13595568000.0,14091163000.0,15579670000.0,16200207000.0,16456077000.0,16978311000.0
Net Receivables,735652000.0,767301000.0,771348000.0,801717000.0,865613000.0,906388000.0,930458000.0,974344000.0,967610000.0,983945000.0
Long Term Debt,7519939000.0,7821494000.0,7559866000.0,8538363000.0,8839268000.0,9262717000.0,8788274000.0,10300561000.0,10271378000.0,10525848000.0
Accounts Payable,233661000.0,318280000.0,285021000.0,320322000.0,305575000.0,558065000.0,513416000.0,389085000.0,428504000.0,458760000.0
Short Long Term Debt,3331000.0,1677000.0,3420000.0,2555000.0,1731000.0,870000.0,3592000.0,2686000.0,28000.0,
