,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02
Change To Liabilities,0.0,0.0,-68200000.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-42400000.0,-34900000.0,-191300000.0,-51200000.0,-64700000.0,-1489800000.0
Net Borrowings,-568700000.0,-150900000.0,-54600000.0,52300000.0,-91600000.0,1155200000.0
Total Cash From Financing Activities,-617600000.0,-205800000.0,-158000000.0,-80200000.0,-187400000.0,1067700000.0
Change To Operating Activities,24600000.0,13700000.0,129400000.0,-78000000.0,-8900000.0,50400000.0
Net Income,79700000.0,150500000.0,191500000.0,209500000.0,183800000.0,164100000.0
Change In Cash,-479400000.0,22100000.0,-32400000.0,75700000.0,16800000.0,-137600000.0
Repurchase Of Stock,-500000.0,-6500000.0,-51800000.0,-80900000.0,-39400000.0,-31200000.0
Effect Of Exchange Rate,1000000.0,5000000.0,7400000.0,-2200000.0,1400000.0,-1500000.0
Total Cash From Operating Activities,179600000.0,257800000.0,309500000.0,209300000.0,267500000.0,286000000.0
Depreciation,50300000.0,52000000.0,26500000.0,54400000.0,55200000.0,61900000.0
Other Cashflows From Investing Activities,-100000.0,5600000.0,400000.0,-500000.0,900000.0,800000.0
Dividends Paid,-48400000.0,-48400000.0,-51600000.0,-51600000.0,-56400000.0,-56300000.0
Change To Netincome,25000000.0,41600000.0,27800000.0,23400000.0,37400000.0,9600000.0
Capital Expenditures,-30700000.0,-27800000.0,-109700000.0,-25200000.0,-58600000.0,-46800000.0
Change To Inventory,-6000000.0,-6000000.0,-6000000.0,,,
Change To Account Receivables,14700000.0,14700000.0,14700000.0,,,
