,2020-06-28,2020-09-27,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02
Intangible Assets,156000000.0,149000000.0,142000000.0,134000000.0,162000000.0,2646000000.0,2545000000.0
Capital Surplus,3649000000.0,3737000000.0,3815000000.0,3914000000.0,3993000000.0,8849000000.0,8938000000.0
Total Liab,2685000000.0,2704000000.0,2891000000.0,3833000000.0,3495000000.0,4470000000.0,4477000000.0
Total Stockholder Equity,4563000000.0,4700000000.0,4694000000.0,4922000000.0,5180000000.0,10593000000.0,10740000000.0
Deferred Long Term Liab,,,,,,705000000.0,705000000.0
Other Current Liab,207000000.0,210000000.0,267000000.0,319000000.0,339000000.0,306000000.0,355000000.0
Total Assets,7248000000.0,7404000000.0,7585000000.0,8755000000.0,8675000000.0,15063000000.0,15217000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Retained Earnings,4287000000.0,4466000000.0,4723000000.0,4870000000.0,5055000000.0,5372000000.0,5485000000.0
Other Liab,230000000.0,245000000.0,303000000.0,229000000.0,238000000.0,1085000000.0,915000000.0
Good Will,894000000.0,897000000.0,897000000.0,897000000.0,966000000.0,7098000000.0,7113000000.0
Treasury Stock,-3375000000.0,-3505000000.0,-3846000000.0,-3864000000.0,-3870000000.0,-3630000000.0,-3685000000.0
Other Assets,181000000.0,179000000.0,191000000.0,185000000.0,274000000.0,950000000.0,937000000.0
Cash,1770000000.0,1761000000.0,1810000000.0,4433000000.0,4196000000.0,1080000000.0,1232000000.0
Total Current Liabilities,1115000000.0,1115000000.0,1244000000.0,1268000000.0,874000000.0,914000000.0,1093000000.0
Other Stockholder Equity,14000000.0,12000000.0,2000000.0,8000000.0,8000000.0,13000000.0,17000000.0
Property Plant Equipment,1439000000.0,1455000000.0,1454000000.0,1444000000.0,1481000000.0,1685000000.0,1696000000.0
Total Current Assets,4194000000.0,4329000000.0,4483000000.0,5642000000.0,5310000000.0,2451000000.0,2713000000.0
Long Term Investments,384000000.0,395000000.0,418000000.0,453000000.0,482000000.0,233000000.0,213000000.0
Net Tangible Assets,3513000000.0,3654000000.0,3655000000.0,3891000000.0,4052000000.0,849000000.0,1082000000.0
Short Term Investments,1498000000.0,1563000000.0,1662000000.0,197000000.0,90000000.0,185000000.0,107000000.0
Net Receivables,385000000.0,464000000.0,487000000.0,517000000.0,540000000.0,604000000.0,664000000.0
Long Term Debt,659000000.0,666000000.0,673000000.0,1672000000.0,1679000000.0,1687000000.0,1695000000.0
Inventory,435000000.0,415000000.0,372000000.0,364000000.0,380000000.0,401000000.0,431000000.0
Accounts Payable,135000000.0,156000000.0,192000000.0,178000000.0,200000000.0,248000000.0,332000000.0
Short Long Term Debt,503000000.0,507000000.0,511000000.0,488000000.0,,,
Deferred Long Term Asset Charges,13000000.0,19000000.0,20000000.0,,,,
