,2018-01-28,2019-01-27,2020-01-26,2021-01-31,2022-01-30
Investments,1869000000.0,-3497000000.0,6638000000.0,-10023000000.0,-8591000000.0
Change To Liabilities,90000000.0,-135000000.0,194000000.0,312000000.0,568000000.0
Total Cashflows From Investing Activities,1278000000.0,-4097000000.0,6145000000.0,-19675000000.0,-9830000000.0
Net Borrowings,-812000000.0,-16000000.0,4968000000.0,4968000000.0,3977000000.0
Total Cash From Financing Activities,-2544000000.0,-2866000000.0,-792000000.0,3804000000.0,1865000000.0
Change To Operating Activities,535000000.0,203000000.0,159000000.0,59000000.0,-942000000.0
Issuance Of Stock,139000000.0,137000000.0,149000000.0,194000000.0,281000000.0
Net Income,3047000000.0,4141000000.0,2796000000.0,4332000000.0,9752000000.0
Change In Cash,2236000000.0,-3220000000.0,10114000000.0,-10049000000.0,1143000000.0
Repurchase Of Stock,-1521000000.0,-2611000000.0,-551000000.0,-942000000.0,-1904000000.0
Total Cash From Operating Activities,3502000000.0,3743000000.0,4761000000.0,5822000000.0,9108000000.0
Depreciation,199000000.0,262000000.0,381000000.0,1098000000.0,1174000000.0
Dividends Paid,-341000000.0,-371000000.0,-390000000.0,-395000000.0,-399000000.0
Change To Inventory,-776000000.0,-776000000.0,597000000.0,-524000000.0,-774000000.0
Change To Account Receivables,-440000000.0,-149000000.0,-233000000.0,-550000000.0,-2215000000.0
Other Cashflows From Financing Activities,-9000000.0,-5000000.0,-21000000.0,-21000000.0,-90000000.0
Change To Netincome,71000000.0,197000000.0,867000000.0,1095000000.0,1545000000.0
Capital Expenditures,-593000000.0,-600000000.0,-489000000.0,-1128000000.0,-976000000.0
