,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,0.0,0.0,89350000.0,0.0,0.0,0.0,777318000.0
Total Cashflows From Investing Activities,-69902000.0,-69902000.0,-47154000.0,-40672000.0,-110719000.0,-88511000.0,-266262000.0
Net Borrowings,-380247000.0,-380247000.0,-317594000.0,4832000.0,-115528000.0,-50098000.0,65000.0
Total Cash From Financing Activities,-501853000.0,-501853000.0,-484557000.0,-115994000.0,-432183000.0,-270547000.0,-170808000.0
Change To Operating Activities,197816000.0,197816000.0,-749520000.0,6465000.0,129609000.0,-64283000.0,-272202000.0
Net Income,-564372000.0,227531000.0,171204000.0,217710000.0,196496000.0,228585000.0,255999000.0
Change In Cash,-83636000.0,-83636000.0,90043000.0,127822000.0,-130599000.0,-68292000.0,-204396000.0
Repurchase Of Stock,-496000.0,-496000.0,-496000.0,-184365000.0,-184365000.0,-99521000.0,-49713000.0
Effect Of Exchange Rate,42700000.0,42700000.0,42700000.0,-16454000.0,8815000.0,-13000000.0,-17415000.0
Total Cash From Operating Activities,488119000.0,488119000.0,579054000.0,300942000.0,403488000.0,303766000.0,250089000.0
Depreciation,69097000.0,69097000.0,69758000.0,72296000.0,73960000.0,72121000.0,72594000.0
Dividends Paid,-113967000.0,-113967000.0,-113983000.0,-114043000.0,-117584000.0,-117666000.0,-116356000.0
Change To Inventory,58462000.0,58462000.0,58462000.0,-329237000.0,-329237000.0,-329237000.0,-329237000.0
Change To Account Receivables,957514000.0,957514000.0,957514000.0,-258994000.0,-258994000.0,-258994000.0,-258994000.0
Other Cashflows From Financing Activities,-7639000.0,-7639000.0,-52484000.0,-6783000.0,-14706000.0,-3262000.0,-4804000.0
Change To Netincome,-6325000.0,-6325000.0,-17714000.0,4471000.0,3423000.0,67343000.0,4611000.0
Capital Expenditures,-31070000.0,-31070000.0,-48074000.0,-48391000.0,-41602000.0,-48213000.0,-127930000.0
