,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,1910547000.0,1886107000.0,1862190000.0,1839085000.0,5437825000.0,5256927000.0,5080673000.0
Capital Surplus,5044776000.0,5081776000.0,5187669000.0,5278379000.0,5412586000.0,5465104000.0,5546614000.0
Total Liab,36821752000.0,45114466000.0,46358316000.0,47106032000.0,55522495000.0,56753394000.0,56976443000.0
Total Stockholder Equity,3857252000.0,-1018924000.0,-697222000.0,-281756000.0,37962000.0,223354000.0,241546000.0
Minority Interest,110699000.0,179288000.0,185674000.0,178974000.0,370479000.0,361057000.0,359575000.0
Other Current Liab,,408000000.0,408000000.0,411300000.0,477000000.0,956869000.0,982179000.0
Total Assets,40789703000.0,44274830000.0,45846768000.0,47003250000.0,55930936000.0,57337805000.0,57577564000.0
Common Stock,2875000.0,2878000.0,2891000.0,2900000.0,2903000.0,2907000.0,2920000.0
Other Current Assets,1340935000.0,1344649000.0,1191767000.0,1217032000.0,1344365000.0,2107451000.0,2188401000.0
Retained Earnings,5451221000.0,518335000.0,780971000.0,1124976000.0,1325422000.0,1670513000.0,2019077000.0
Other Liab,2145192000.0,7257621000.0,7189833000.0,7254300000.0,8226707000.0,8064887000.0,7889885000.0
Good Will,6705130000.0,6706719000.0,6709471000.0,6709821000.0,9132723000.0,9030531000.0,8921790000.0
Treasury Stock,-6641620000.0,-6621913000.0,-6668753000.0,-6688011000.0,-6702949000.0,-6915170000.0,-7327065000.0
Other Assets,320742000.0,697972000.0,1097846000.0,1502442000.0,1957542000.0,1017602000.0,2066519000.0
Cash,3420272000.0,4597746000.0,4890918000.0,6641180000.0,2553217000.0,2547142000.0,3168881000.0
Total Current Liabilities,30631571000.0,33853077000.0,35044451000.0,32996446000.0,39589838000.0,41358641000.0,41613605000.0
Deferred Long Term Asset Charges,,361640000.0,326820000.0,302554000.0,289040000.0,290791000.0,270049000.0
Short Long Term Debt,519710000.0,501259000.0,59371000.0,43885000.0,455609000.0,300213000.0,268563000.0
Other Stockholder Equity,-128664000.0,-108830000.0,-70467000.0,-69248000.0,-233238000.0,-445442000.0,-822783000.0
Property Plant Equipment,1934712000.0,1928330000.0,1477040000.0,1482753000.0,2143080000.0,3230136000.0,2129697000.0
Total Current Assets,29918572000.0,33055702000.0,34700221000.0,35469149000.0,37259766000.0,38802609000.0,39378885000.0
Net Tangible Assets,-4758425000.0,-9611750000.0,-9268883000.0,-8830662000.0,-14532586000.0,-14064104000.0,-13760917000.0
Net Receivables,13144423000.0,14334729000.0,15203908000.0,14465617000.0,17949235000.0,18389050000.0,17329294000.0
Long Term Debt,3620641000.0,3618261000.0,3640741000.0,6147112000.0,6647183000.0,6383711000.0,6412537000.0
Inventory,11849201000.0,12589278000.0,13178958000.0,12954676000.0,14996364000.0,15368352000.0,16293933000.0
Accounts Payable,29145149000.0,31705055000.0,33449690000.0,31420390000.0,36502816000.0,38009954000.0,38617734000.0
