,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Intangible Assets,380900000.0,435800000.0,452500000.0,449100000.0,444000000.0,420700000.0,418800000.0
Capital Surplus,1084800000.0,1094800000.0,1083000000.0,1094400000.0,1105200000.0,1115800000.0,1112000000.0
Total Liab,12758700000.0,12725400000.0,13016200000.0,13024100000.0,12760500000.0,12771200000.0,12749700000.0
Total Stockholder Equity,11659300000.0,12079800000.0,12683600000.0,12726200000.0,13082900000.0,13539700000.0,13825100000.0
Minority Interest,364100000.0,363300000.0,388300000.0,408600000.0,408700000.0,548300000.0,550500000.0
Other Current Liab,1684700000.0,1107000000.0,2063400000.0,2122400000.0,2196100000.0,1244800000.0,2421800000.0
Total Assets,24782100000.0,25168500000.0,26088100000.0,26158900000.0,26252100000.0,26859200000.0,27125300000.0
Common Stock,249400000.0,249400000.0,249400000.0,249400000.0,249400000.0,249400000.0,249400000.0
Other Current Assets,258000000.0,325600000.0,256500000.0,219500000.0,203200000.0,331100000.0,193000000.0
Retained Earnings,14686600000.0,14875700000.0,15060500000.0,15200000000.0,15400200000.0,15678300000.0,15905200000.0
Other Liab,2483200000.0,2541100000.0,2905900000.0,2864400000.0,2861800000.0,2290900000.0,2893900000.0
Good Will,799300000.0,891500000.0,923900000.0,914700000.0,931500000.0,911500000.0,923300000.0
Treasury Stock,-4361500000.0,-4140100000.0,-3709300000.0,-3817600000.0,-3671900000.0,-3503800000.0,-3441500000.0
Other Assets,1350900000.0,1337600000.0,1849800000.0,1843400000.0,1868600000.0,1662500000.0,2324600000.0
Cash,3921400000.0,5253000000.0,5788000000.0,5786300000.0,4291600000.0,4468900000.0,2953700000.0
Total Current Liabilities,2591000000.0,2416700000.0,2985900000.0,3017400000.0,2697100000.0,2799100000.0,2630100000.0
Deferred Long Term Asset Charges,,115100000.0,,,,100200000.0,
Short Long Term Debt,824600000.0,470400000.0,913300000.0,879600000.0,486700000.0,489700000.0,95400000.0
Other Stockholder Equity,-2353100000.0,-2140100000.0,-1713300000.0,-1824400000.0,-1681900000.0,-1515900000.0,-1452300000.0
Property Plant Equipment,11820900000.0,12341500000.0,12517100000.0,12628300000.0,13035600000.0,13820800000.0,13624700000.0
Total Current Assets,9006500000.0,8684900000.0,8809800000.0,8766600000.0,8376800000.0,8376300000.0,6483500000.0
Long Term Investments,1423600000.0,1477200000.0,1535000000.0,1556800000.0,1595600000.0,1667400000.0,3350400000.0
Net Tangible Assets,10479100000.0,10752500000.0,11307200000.0,11362400000.0,11707400000.0,12207500000.0,12483000000.0
Short Term Investments,2515700000.0,1104900000.0,412000000.0,409200000.0,1524900000.0,1331900000.0,728600000.0
Net Receivables,1679000000.0,1417400000.0,1738800000.0,1704200000.0,1767700000.0,1655100000.0,1969200000.0
Long Term Debt,7358800000.0,7422600000.0,7124400000.0,7142300000.0,7201600000.0,7169700000.0,7225700000.0
Inventory,410900000.0,404800000.0,422900000.0,430300000.0,447200000.0,453900000.0,487200000.0
Accounts Payable,,546200000.0,,,,736800000.0,
