,2020-06-27,2020-09-26,2020-12-31,2021-04-03,2021-07-03,2021-10-02,2021-12-31,2022-04-02,2022-07-02
Investments,-30000000.0,6000000.0,-13000000.0,-13000000.0,-4000000.0,-7000000.0,-11000000.0,-1000000.0,-1000000.0
Change To Liabilities,89000000.0,52000000.0,99000000.0,20000000.0,37000000.0,42000000.0,110000000.0,0.0,151000000.0
Total Cashflows From Investing Activities,-50000000.0,-558000000.0,-18000000.0,-23000000.0,-36000000.0,-310000000.0,-177000000.0,-893000000.0,-893000000.0
Net Borrowings,-181000000.0,346000000.0,-326000000.0,-156000000.0,-100000000.0,-1000000.0,-1000000.0,1070000000.0,1070000000.0
Total Cash From Financing Activities,-135000000.0,364000000.0,-288000000.0,-181000000.0,-148000000.0,-22000000.0,-20000000.0,738000000.0,738000000.0
Change To Operating Activities,13000000.0,52000000.0,55000000.0,-65000000.0,47000000.0,36000000.0,60000000.0,372000000.0,372000000.0
Net Income,100000000.0,116000000.0,199000000.0,228000000.0,219000000.0,199000000.0,191000000.0,0.0,-98000000.0
Change In Cash,62000000.0,-18000000.0,124000000.0,18000000.0,129000000.0,-31000000.0,36000000.0,-59000000.0,-59000000.0
Repurchase Of Stock,,-25000000.0,-25000000.0,-25000000.0,-25000000.0,-32000000.0,-32000000.0,-305000000.0,-305000000.0
Effect Of Exchange Rate,-1000000.0,-1000000.0,-1000000.0,-2000000.0,-2000000.0,4000000.0,-4000000.0,-4000000.0,-4000000.0
Total Cash From Operating Activities,247000000.0,176000000.0,431000000.0,224000000.0,315000000.0,297000000.0,233000000.0,100000000.0,100000000.0
Depreciation,34000000.0,35000000.0,43000000.0,44000000.0,44000000.0,48000000.0,51000000.0,51000000.0,51000000.0
Change To Inventory,-69000000.0,29000000.0,-35000000.0,-17000000.0,43000000.0,49000000.0,-57000000.0,-130000000.0,-130000000.0
Change To Account Receivables,93000000.0,-105000000.0,34000000.0,-15000000.0,-44000000.0,-48000000.0,-132000000.0,-114000000.0,-114000000.0
Other Cashflows From Financing Activities,46000000.0,18000000.0,38000000.0,-25000000.0,-23000000.0,-22000000.0,13000000.0,-25000000.0,-27000000.0
Change To Netincome,19000000.0,6000000.0,-18000000.0,1000000.0,20000000.0,15000000.0,-60000000.0,-72000000.0,-72000000.0
Capital Expenditures,-20000000.0,-16000000.0,-18000000.0,-10000000.0,-15000000.0,-13000000.0,-21000000.0,-17000000.0,-17000000.0
Issuance Of Stock,,,,,5000000.0,5000000.0,5000000.0,5000000.0,
