,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Investments,3173000000.0,2100000000.0,2593000000.0,2517000000.0,-4334000000.0
Change To Liabilities,11802000000.0,-2749000000.0,-3194000000.0,360000000.0,13014000000.0
Total Cashflows From Investing Activities,-4462000000.0,-5371000000.0,-1669000000.0,-9684000000.0,-10853000000.0
Net Borrowings,-3250000000.0,-3250000000.0,-3250000000.0,-500000000.0,
Total Cash From Financing Activities,-12262000000.0,-10289000000.0,-13634000000.0,-13192000000.0,-11371000000.0
Change To Operating Activities,643000000.0,-2823000000.0,1879000000.0,1305000000.0,799000000.0
Issuance Of Stock,340000000.0,545000000.0,302000000.0,396000000.0,450000000.0
Net Income,11202000000.0,13893000000.0,15463000000.0,15457000000.0,16458000000.0
Change In Cash,1866000000.0,3629000000.0,-2773000000.0,-730000000.0,522000000.0
Repurchase Of Stock,-5791000000.0,-6743000000.0,-6535000000.0,-6930000000.0,-7177000000.0
Effect Of Exchange Rate,-83000000.0,-46000000.0,14000000.0,-33000000.0,36000000.0
Total Cash From Operating Activities,18673000000.0,19335000000.0,12516000000.0,22179000000.0,22710000000.0
Depreciation,3008000000.0,2645000000.0,2761000000.0,2936000000.0,3344000000.0
Other Cashflows From Investing Activities,-1241000000.0,-2083000000.0,327000000.0,400000000.0,434000000.0
Dividends Paid,-3865000000.0,-3856000000.0,-4230000000.0,-4221000000.0,-4214000000.0
Change To Inventory,-251000000.0,-808000000.0,788000000.0,-329000000.0,-388000000.0
Change To Account Receivables,-9355000000.0,8843000000.0,-4008000000.0,290000000.0,-11606000000.0
Other Cashflows From Financing Activities,-2946000000.0,-235000000.0,79000000.0,-1937000000.0,-430000000.0
Change To Netincome,2213000000.0,1317000000.0,1195000000.0,1086000000.0,1121000000.0
Capital Expenditures,-4744000000.0,-4907000000.0,-4174000000.0,-5089000000.0,-6452000000.0
