,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-34300000.0,-57700000.0,7700000.0,-35700000.0
Change To Liabilities,0.0,227200000.0,0.0,0.0
Total Cashflows From Investing Activities,-6400000.0,-145800000.0,-29800000.0,-48900000.0
Net Borrowings,818000000.0,-100000.0,-559500000.0,-928200000.0
Total Cash From Financing Activities,-94800000.0,-1103900000.0,-1030100000.0,-1001800000.0
Change To Operating Activities,-593000000.0,-277300000.0,470400000.0,90400000.0
Issuance Of Stock,38400000.0,172000000.0,58100000.0,47600000.0
Net Income,409600000.0,407000000.0,705800000.0,595900000.0
Change In Cash,88100000.0,-393300000.0,431800000.0,-50400000.0
Repurchase Of Stock,-775400000.0,-1151600000.0,-404400000.0,-404400000.0
Effect Of Exchange Rate,-6400000.0,11600000.0,2500000.0,-19400000.0
Total Cash From Operating Activities,195700000.0,844800000.0,1489200000.0,1019700000.0
Depreciation,144600000.0,147200000.0,146100000.0,143500000.0
Dividends Paid,-151800000.0,-120200000.0,-122200000.0,-122700000.0
Other Cashflows From Financing Activities,-24000000.0,-4000000.0,-2100000.0,1500000.0
Change To Netincome,233000000.0,104500000.0,165200000.0,188000000.0
Capital Expenditures,-64300000.0,-110000000.0,-51500000.0,-35700000.0
Change To Inventory,,84400000.0,84400000.0,84400000.0
Change To Account Receivables,,10300000.0,10300000.0,10300000.0
