,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-200000000.0,-200000000.0,200000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Change To Liabilities,-18000000.0,-5000000.0,52000000.0,-29000000.0,65000000.0,-17000000.0,62000000.0
Total Cashflows From Investing Activities,-40000000.0,-238000000.0,157000000.0,-31000000.0,-38000000.0,-44000000.0,-70000000.0
Total Cash From Financing Activities,687000000.0,-224000000.0,-77000000.0,-115000000.0,-47000000.0,-644000000.0,-49000000.0
Change To Operating Activities,24000000.0,93000000.0,17000000.0,-63000000.0,63000000.0,29000000.0,29000000.0
Issuance Of Stock,5000000.0,5000000.0,10000000.0,3000000.0,6000000.0,6000000.0,4000000.0
Net Income,31000000.0,37000000.0,148000000.0,87000000.0,113000000.0,114000000.0,113000000.0
Change In Cash,838000000.0,-175000000.0,473000000.0,-187000000.0,152000000.0,-585000000.0,94000000.0
Effect Of Exchange Rate,10000000.0,12000000.0,23000000.0,-15000000.0,5000000.0,-9000000.0,-7000000.0
Total Cash From Operating Activities,181000000.0,275000000.0,370000000.0,-26000000.0,232000000.0,112000000.0,220000000.0
Depreciation,62000000.0,63000000.0,62000000.0,62000000.0,62000000.0,62000000.0,59000000.0
Other Cashflows From Investing Activities,4000000.0,2000000.0,5000000.0,7000000.0,2000000.0,2000000.0,1000000.0
Dividends Paid,-47000000.0,-47000000.0,-46000000.0,-51000000.0,-51000000.0,-50000000.0,-51000000.0
Change To Inventory,-9000000.0,15000000.0,43000000.0,-46000000.0,-43000000.0,-46000000.0,-32000000.0
Change To Account Receivables,25000000.0,-5000000.0,66000000.0,-42000000.0,-24000000.0,-12000000.0,8000000.0
Other Cashflows From Financing Activities,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-2000000.0,-2000000.0
Change To Netincome,66000000.0,82000000.0,-43000000.0,5000000.0,-4000000.0,11000000.0,-10000000.0
Capital Expenditures,-44000000.0,-41000000.0,-47000000.0,-39000000.0,-41000000.0,-47000000.0,-81000000.0
Net Borrowings,734000000.0,-180000000.0,-40000000.0,-600000000.0,-600000000.0,-600000000.0,
Repurchase Of Stock,-1000000.0,-1000000.0,-67000000.0,-67000000.0,-1000000.0,,
