,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,63000000.0,11000000.0,15000000.0,-57000000.0,42000000.0,43000000.0,38000000.0
Total Cashflows From Investing Activities,-508000000.0,-488000000.0,-615000000.0,-363000000.0,-471000000.0,-519000000.0,-183000000.0
Net Borrowings,274000000.0,112000000.0,245000000.0,-189000000.0,251000000.0,84000000.0,-98000000.0
Total Cash From Financing Activities,173000000.0,25000000.0,154000000.0,-293000000.0,135000000.0,6000000.0,-193000000.0
Change To Operating Activities,-31000000.0,12000000.0,43000000.0,-66000000.0,-15000000.0,7000000.0,168000000.0
Issuance Of Stock,7000000.0,21000000.0,3000000.0,3000000.0,3000000.0,4000000.0,17000000.0
Net Income,176000000.0,264000000.0,145000000.0,133000000.0,207000000.0,278000000.0,645000000.0
Change In Cash,16000000.0,-6000000.0,-23000000.0,-477000000.0,5000000.0,-4000000.0,36000000.0
Repurchase Of Stock,-17000000.0,-17000000.0,-11000000.0,-11000000.0,-14000000.0,-14000000.0,-14000000.0
Total Cash From Operating Activities,351000000.0,457000000.0,438000000.0,179000000.0,341000000.0,509000000.0,412000000.0
Depreciation,152000000.0,154000000.0,153000000.0,157000000.0,158000000.0,161000000.0,160000000.0
Other Cashflows From Investing Activities,-27000000.0,-25000000.0,-31000000.0,-18000000.0,-25000000.0,-27000000.0,-39000000.0
Dividends Paid,-100000000.0,-100000000.0,-99000000.0,-100000000.0,-109000000.0,-109000000.0,-110000000.0
Change To Account Receivables,-50000000.0,-67000000.0,24000000.0,26000000.0,-84000000.0,-45000000.0,29000000.0
Other Cashflows From Financing Activities,-8000000.0,9000000.0,5000000.0,7000000.0,-10000000.0,27000000.0,12000000.0
Change To Netincome,41000000.0,83000000.0,58000000.0,-14000000.0,33000000.0,65000000.0,-628000000.0
Capital Expenditures,-462000000.0,-444000000.0,-508000000.0,-342000000.0,-410000000.0,-453000000.0,-559000000.0
