,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Change To Liabilities,0.0,324000000.0,150000000.0,110000000.0,282000000.0
Total Cashflows From Investing Activities,-80000000.0,-80000000.0,-1256000000.0,-424000000.0,-1818000000.0
Net Borrowings,-918000000.0,-918000000.0,149000000.0,588000000.0,706000000.0
Total Cash From Financing Activities,-1032000000.0,-1032000000.0,46000000.0,469000000.0,585000000.0
Change To Operating Activities,22000000.0,22000000.0,-21000000.0,-69000000.0,-36000000.0
Issuance Of Stock,17000000.0,17000000.0,31000000.0,20000000.0,24000000.0
Net Income,102000000.0,442000000.0,272000000.0,378000000.0,431000000.0
Change In Cash,-244000000.0,-244000000.0,-182000000.0,-18000000.0,-613000000.0
Repurchase Of Stock,-3000000.0,-3000000.0,-6000000.0,-11000000.0,-6000000.0
Effect Of Exchange Rate,26000000.0,26000000.0,82000000.0,-40000000.0,16000000.0
Total Cash From Operating Activities,842000000.0,842000000.0,966000000.0,-23000000.0,604000000.0
Depreciation,132000000.0,132000000.0,125000000.0,129000000.0,137000000.0
Other Cashflows From Investing Activities,-2000000.0,-2000000.0,2000000.0,12000000.0,14000000.0
Dividends Paid,-127000000.0,-127000000.0,-128000000.0,-128000000.0,-128000000.0
Change To Inventory,65000000.0,65000000.0,75000000.0,-189000000.0,-91000000.0
Change To Account Receivables,-155000000.0,-155000000.0,250000000.0,-354000000.0,-126000000.0
Other Cashflows From Financing Activities,-1000000.0,-1000000.0,-11000000.0,-11000000.0,-11000000.0
Change To Netincome,26000000.0,26000000.0,151000000.0,-50000000.0,89000000.0
Capital Expenditures,-78000000.0,-78000000.0,-134000000.0,-80000000.0,-62000000.0
