,2020-06-28,2019-06-30,2018-06-24,2017-06-25
Investments,-15000000.0,-1326208000.0,3152886000.0,-1883886000.0
Change To Liabilities,284685000.0,-309546000.0,148068000.0,385292000.0
Total Cashflows From Investing Activities,-244084000.0,-1637054000.0,2748536000.0,-2052829000.0
Net Borrowings,1307114000.0,1997313000.0,-396090000.0,-1688313000.0
Total Cash From Financing Activities,-623930000.0,-2390080000.0,-3272057000.0,-2632394000.0
Change To Operating Activities,196875000.0,-212423000.0,737375000.0,23038000.0
Issuance Of Stock,93523000.0,84774000.0,84882000.0,72576000.0
Net Income,2251753000.0,2191430000.0,2380681000.0,1697763000.0
Change In Cash,1255687000.0,-855162000.0,2134819000.0,-2656004000.0
Repurchase Of Stock,-1369649000.0,-3780611000.0,-2653249000.0,-811672000.0
Effect Of Exchange Rate,-2750000.0,-4041000.0,2593000.0,-63000.0
Total Cash From Operating Activities,2126451000.0,3176013000.0,2655747000.0,2029282000.0
Depreciation,268525000.0,309281000.0,326395000.0,306905000.0
Other Cashflows From Investing Activities,-25845000.0,-7355000.0,-15184000.0,-12815000.0
Dividends Paid,-656838000.0,-678348000.0,-307609000.0,-243495000.0
Change To Inventory,-411608000.0,281355000.0,-701008000.0,-307875000.0
Change To Account Receivables,-641827000.0,732138000.0,-501628000.0,-411287000.0
Other Cashflows From Financing Activities,1920000.0,-13208000.0,9000.0,38510000.0
Change To Netincome,172108000.0,176435000.0,251436000.0,310164000.0
Capital Expenditures,-203239000.0,-303491000.0,-273469000.0,-157419000.0
