,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Change To Liabilities,-79100000.0,-73200000.0,33400000.0,31400000.0,49400000.0,2900000.0,34500000.0,41000000.0
Total Cashflows From Investing Activities,-15800000.0,-39800000.0,-15400000.0,-208200000.0,1879800000.0,-610100000.0,-147200000.0,-48200000.0
Net Borrowings,385100000.0,-9600000.0,-9900000.0,-9900000.0,-9800000.0,-406000000.0,-10000000.0,-9600000.0
Total Cash From Financing Activities,378800000.0,-19000000.0,10800000.0,-7800000.0,-2300000.0,-1132100000.0,-14800000.0,-116100000.0
Change To Operating Activities,124700000.0,-26200000.0,79800000.0,-29700000.0,-45700000.0,-189600000.0,-100000.0,-62700000.0
Issuance Of Stock,4100000.0,5900000.0,10000000.0,5100000.0,7700000.0,7200000.0,3700000.0,4600000.0
Net Income,-177600000.0,29500000.0,151600000.0,-90400000.0,233900000.0,126000000.0,293000000.0,103700000.0
Change In Cash,617900000.0,139700000.0,437600000.0,-111300000.0,2030300000.0,-1636900000.0,76600000.0,-119400000.0
Repurchase Of Stock,-500000.0,-100000.0,-700000.0,-3000000.0,-200000.0,-733300000.0,-300000.0,-101100000.0
Effect Of Exchange Rate,7500000.0,11800000.0,30400000.0,-17600000.0,10800000.0,-10700000.0,3400000.0,-1100000.0
Total Cash From Operating Activities,247400000.0,186700000.0,411800000.0,122300000.0,142000000.0,116000000.0,235200000.0,46000000.0
Depreciation,144500000.0,142800000.0,141300000.0,119000000.0,88800000.0,102500000.0,111800000.0,108500000.0
Dividends Paid,,,,-8200000.0,-8200000.0,-8200000.0,-8200000.0,-8200000.0
Change To Inventory,15800000.0,102600000.0,76000000.0,-56100000.0,-24600000.0,-45900000.0,-7800000.0,-99400000.0
Change To Account Receivables,115600000.0,-3000000.0,-8200000.0,-53600000.0,-19400000.0,29200000.0,-18700000.0,-67700000.0
Other Cashflows From Financing Activities,-9900000.0,-15200000.0,11400000.0,,-1800000.0,-1800000.0,-1800000.0,-1800000.0
Change To Netincome,103500000.0,14200000.0,-62100000.0,201700000.0,-140400000.0,90900000.0,-177500000.0,22600000.0
Capital Expenditures,-17100000.0,-8100000.0,-15200000.0,-15000000.0,-10900000.0,-15300000.0,-22900000.0,-17900000.0
Other Cashflows From Investing Activities,-300000.0,-300000.0,-300000.0,-300000.0,1904100000.0,-1300000.0,41200000.0,
