,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,2049000000.0,2039000000.0,2029000000.0,2019000000.0,2008000000.0,1998000000.0,1988000000.0,1970000000.0
Capital Surplus,5377000000.0,5430000000.0,6894000000.0,6980000000.0,7200000000.0,7221000000.0,7234000000.0,7243000000.0
Total Liab,67713000000.0,68301000000.0,68875000000.0,76594000000.0,80131000000.0,75874000000.0,73807000000.0,76341000000.0
Total Stockholder Equity,-3169000000.0,-5528000000.0,-6867000000.0,-7945000000.0,-7667000000.0,-7437000000.0,-7340000000.0,-8940000000.0
Other Current Liab,7473000000.0,6954000000.0,6790000000.0,7921000000.0,10827000000.0,9241000000.0,8983000000.0,11456000000.0
Total Assets,64544000000.0,62773000000.0,62008000000.0,68649000000.0,72464000000.0,68437000000.0,66467000000.0,67401000000.0
Common Stock,5000000.0,5000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,539000000.0,508000000.0,609000000.0,806000000.0,999000000.0,923000000.0,990000000.0,952000000.0
Retained Earnings,-2088000000.0,-4487000000.0,-6664000000.0,-7895000000.0,-7876000000.0,-7707000000.0,-8638000000.0,-10273000000.0
Other Liab,14043000000.0,14958000000.0,15733000000.0,15276000000.0,14698000000.0,14321000000.0,12620000000.0,12485000000.0
Good Will,4091000000.0,4091000000.0,4091000000.0,4091000000.0,4091000000.0,4091000000.0,4091000000.0,4091000000.0
Treasury Stock,-6463000000.0,-6476000000.0,-7103000000.0,-7036000000.0,-6997000000.0,-6957000000.0,-5942000000.0,-5916000000.0
Other Assets,4599000000.0,5821000000.0,6340000000.0,6488000000.0,6101000000.0,6025000000.0,5943000000.0,6284000000.0
Cash,462000000.0,253000000.0,245000000.0,277000000.0,325000000.0,293000000.0,273000000.0,376000000.0
Total Current Liabilities,18000000000.0,16584000000.0,16569000000.0,17333000000.0,21521000000.0,18938000000.0,19006000000.0,21866000000.0
Deferred Long Term Asset Charges,1725000000.0,2425000000.0,3239000000.0,3632000000.0,3631000000.0,3582000000.0,3556000000.0,4000000000.0
Short Long Term Debt,2471000000.0,2610000000.0,2697000000.0,2339000000.0,2692000000.0,2405000000.0,2315000000.0,2208000000.0
Other Stockholder Equity,-6463000000.0,-6476000000.0,-7103000000.0,-7036000000.0,-6997000000.0,-6957000000.0,-5942000000.0,-5916000000.0
Property Plant Equipment,39888000000.0,38336000000.0,38292000000.0,37761000000.0,37449000000.0,36975000000.0,36870000000.0,37058000000.0
Total Current Assets,13789000000.0,12340000000.0,11095000000.0,18089000000.0,22647000000.0,19195000000.0,17336000000.0,17762000000.0
Long Term Investments,128000000.0,146000000.0,161000000.0,201000000.0,168000000.0,153000000.0,239000000.0,236000000.0
Net Tangible Assets,-9309000000.0,-11658000000.0,-12987000000.0,-14055000000.0,-13766000000.0,-13526000000.0,-13419000000.0,-15001000000.0
Short Term Investments,9351000000.0,8031000000.0,6619000000.0,13762000000.0,17625000000.0,14243000000.0,12158000000.0,12108000000.0
Net Receivables,879000000.0,1135000000.0,1342000000.0,971000000.0,1249000000.0,1332000000.0,1505000000.0,1537000000.0
Long Term Debt,28193000000.0,29593000000.0,29324000000.0,36785000000.0,36729000000.0,35470000000.0,35008000000.0,34885000000.0
Inventory,1653000000.0,1633000000.0,1614000000.0,1658000000.0,1789000000.0,1851000000.0,1795000000.0,2002000000.0
Accounts Payable,1175000000.0,1077000000.0,1196000000.0,1624000000.0,2172000000.0,1835000000.0,1772000000.0,2546000000.0
