,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-125000000.0,884000000.0,11250000000.0,-531000000.0,-347000000.0,-31000000.0,-78000000.0,-16000000.0,160000000.0
Change To Liabilities,-4000000.0,-21000000.0,214000000.0,-253000000.0,31000000.0,-20000000.0,124000000.0,-91000000.0,-13000000.0
Total Cashflows From Investing Activities,-5023000000.0,-271000000.0,-8977000000.0,-2042000000.0,-577000000.0,-234000000.0,-278000000.0,-1070000000.0,-308000000.0
Total Cash From Financing Activities,-874000000.0,4124000000.0,131000000.0,-2477000000.0,-931000000.0,-3527000000.0,-1942000000.0,-1794000000.0,-1003000000.0
Change To Operating Activities,493000000.0,91000000.0,346000000.0,-746000000.0,31000000.0,-153000000.0,1515000000.0,-1677000000.0,352000000.0
Issuance Of Stock,35000000.0,36000000.0,8000000.0,88000000.0,12000000.0,57000000.0,12000000.0,94000000.0,3000000.0
Net Income,-3339000000.0,360000000.0,1551000000.0,1729000000.0,1522000000.0,2592000000.0,382000000.0,19000000.0,1144000000.0
Change In Cash,-3305000000.0,6140000000.0,-6889000000.0,-1932000000.0,828000000.0,-531000000.0,976000000.0,-1042000000.0,443000000.0
Repurchase Of Stock,-54000000.0,-201000000.0,-309000000.0,-309000000.0,-43000000.0,-145000000.0,-49000000.0,-352000000.0,-72000000.0
Effect Of Exchange Rate,26000000.0,37000000.0,41000000.0,-23000000.0,20000000.0,-23000000.0,-9000000.0,-18000000.0,-48000000.0
Total Cash From Operating Activities,2566000000.0,2250000000.0,1916000000.0,2610000000.0,2316000000.0,3253000000.0,3205000000.0,1840000000.0,1802000000.0
Depreciation,349000000.0,355000000.0,427000000.0,473000000.0,519000000.0,523000000.0,535000000.0,525000000.0,525000000.0
Other Cashflows From Investing Activities,49000000.0,-108000000.0,-108000000.0,-91000000.0,-19000000.0,-10000000.0,-43000000.0,-823000000.0,776000000.0
Dividends Paid,-856000000.0,-861000000.0,-858000000.0,-917000000.0,-894000000.0,-900000000.0,-894000000.0,-945000000.0,-920000000.0
Change To Inventory,-37000000.0,-26000000.0,-147000000.0,-69000000.0,-25000000.0,70000000.0,35000000.0,53000000.0,8000000.0
Change To Account Receivables,744000000.0,-702000000.0,-837000000.0,975000000.0,-281000000.0,-422000000.0,41000000.0,699000000.0,-452000000.0
Other Cashflows From Financing Activities,1000000.0,-39000000.0,-14000000.0,-89000000.0,-6000000.0,-39000000.0,-11000000.0,3000000.0,-14000000.0
Change To Netincome,4594000000.0,2260000000.0,712000000.0,817000000.0,738000000.0,591000000.0,474000000.0,1821000000.0,734000000.0
Capital Expenditures,-143000000.0,-155000000.0,-181000000.0,-165000000.0,-119000000.0,-139000000.0,-156000000.0,-247000000.0,-143000000.0
Net Borrowings,5189000000.0,5189000000.0,995000000.0,-1250000000.0,-2500000000.0,-2500000000.0,-1000000000.0,-500000000.0,
