,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-94800000.0,-94800000.0,-94800000.0,-94800000.0
Change To Liabilities,57700000.0,58900000.0,162300000.0,45500000.0
Total Cashflows From Investing Activities,-1105500000.0,-265400000.0,-927900000.0,-595800000.0
Net Borrowings,615000000.0,-300000000.0,449700000.0,49800000.0
Total Cash From Financing Activities,362500000.0,-669800000.0,10900000.0,-445200000.0
Change To Operating Activities,-48400000.0,-53700000.0,45600000.0,-124200000.0
Issuance Of Stock,35000000.0,87300000.0,52400000.0,88000000.0
Net Income,555100000.0,598700000.0,449900000.0,712700000.0
Change In Cash,7200000.0,-2800000.0,45100000.0,34200000.0
Repurchase Of Stock,-279200000.0,-442300000.0,-305500000.0,-352900000.0
Effect Of Exchange Rate,6700000.0,-2000000.0,6100000.0,6700000.0
Total Cash From Operating Activities,743500000.0,934400000.0,956300000.0,1068200000.0
Depreciation,179400000.0,210700000.0,223500000.0,237500000.0
Other Cashflows From Investing Activities,-48700000.0,103800000.0,-11900000.0,-1500000.0
Dividends Paid,-163500000.0,-163500000.0,-163500000.0,-175800000.0
Change To Account Receivables,-45500000.0,-17400000.0,-70300000.0,1800000.0
Other Cashflows From Financing Activities,-8300000.0,-14800000.0,-22200000.0,-54300000.0
Change To Netincome,-39700000.0,50500000.0,26200000.0,73000000.0
Capital Expenditures,-183500000.0,-231000000.0,-216800000.0,-246800000.0
