,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,1264300000.0,1316300000.0,1853200000.0,1355700000.0,1319000000.0,1265300000.0,1739800000.0,,1183400000.0
Capital Surplus,2432800000.0,2464600000.0,2490900000.0,2515300000.0,2534900000.0,2567400000.0,2608700000.0,,2707100000.0
Total Liab,4831800000.0,4798300000.0,4863600000.0,5039000000.0,4943400000.0,4928700000.0,4965600000.0,,5138900000.0
Total Stockholder Equity,2176100000.0,2421300000.0,2698200000.0,2756300000.0,2753500000.0,2714400000.0,2816500000.0,,2351900000.0
Minority Interest,,,,15200000.0,16700000.0,19400000.0,26000000.0,,18100000.0
Other Current Liab,677000000.0,554000000.0,597600000.0,740400000.0,665000000.0,595200000.0,521100000.0,,663700000.0
Total Assets,7007900000.0,7219600000.0,7561800000.0,7810500000.0,7713600000.0,7662500000.0,7808100000.0,,7508900000.0
Common Stock,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,100000.0
Other Current Assets,29700000.0,32500000.0,32300000.0,44000000.0,40900000.0,35500000.0,31700000.0,83100000.0,40200000.0
Retained Earnings,4488800000.0,4630400000.0,4762200000.0,4884100000.0,4991000000.0,5145700000.0,5240400000.0,,5845500000.0
Other Liab,405200000.0,436300000.0,461600000.0,446900000.0,487400000.0,483500000.0,524900000.0,,452500000.0
Good Will,3744100000.0,3924900000.0,4108100000.0,4135600000.0,4168900000.0,4129500000.0,4331200000.0,,3820400000.0
Treasury Stock,-4745600000.0,-4673800000.0,-4555000000.0,-4643200000.0,-4772500000.0,-4998800000.0,-5032700000.0,,-6200800000.0
Other Assets,172500000.0,189900000.0,182200000.0,188000000.0,197800000.0,188000000.0,437100000.0,726800000.0,36600000.0
Cash,309400000.0,221800000.0,218800000.0,390900000.0,276300000.0,302100000.0,280300000.0,,480700000.0
Total Current Liabilities,1490300000.0,1422900000.0,1430800000.0,1622900000.0,1493900000.0,1843100000.0,1843200000.0,,2112500000.0
Deferred Long Term Asset Charges,9100000.0,9500000.0,9100000.0,9000000.0,9100000.0,8700000.0,6600000.0,,4500000.0
Short Long Term Debt,449600000.0,449700000.0,449900000.0,450000000.0,,349400000.0,349600000.0,349800000.0,349900000.0
Other Stockholder Equity,-657200000.0,-540900000.0,-375700000.0,-366200000.0,-348900000.0,-428600000.0,-394600000.0,,-683400000.0
Property Plant Equipment,802400000.0,844200000.0,431500000.0,910600000.0,915000000.0,932200000.0,397400000.0,,873100000.0
Total Current Assets,878700000.0,799700000.0,794200000.0,1041600000.0,918700000.0,934100000.0,902600000.0,,1186600000.0
Long Term Investments,145900000.0,144600000.0,192600000.0,179000000.0,194200000.0,213400000.0,,207300000.0,408800000.0
Net Tangible Assets,-2832300000.0,-2819900000.0,-3263100000.0,-2735000000.0,-2734400000.0,-2680400000.0,-3254500000.0,,-2651900000.0
Short Term Investments,3500000.0,3700000.0,4100000.0,4300000.0,4500000.0,4600000.0,5000000.0,4600000.0,3900000.0
Net Receivables,454500000.0,459400000.0,457800000.0,519500000.0,498200000.0,489000000.0,483000000.0,,553600000.0
Long Term Debt,2688600000.0,2689000000.0,2689300000.0,2689600000.0,2689900000.0,2340900000.0,2341200000.0,2341300000.0,2341600000.0
Accounts Payable,322400000.0,369300000.0,99300000.0,380200000.0,386900000.0,440000000.0,117300000.0,,276200000.0
