,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,2178000000.0,2190000000.0,2194000000.0,1982000000.0,1976000000.0,1993000000.0,1981000000.0,1962000000.0,1827000000.0
Capital Surplus,2822000000.0,2865000000.0,2923000000.0,2932000000.0,2989000000.0,3011000000.0,3025000000.0,3028000000.0,3047000000.0
Total Liab,14751000000.0,16081000000.0,15641000000.0,15199000000.0,14996000000.0,15265000000.0,15272000000.0,14742000000.0,14143000000.0
Total Stockholder Equity,3018000000.0,3371000000.0,3799000000.0,4222000000.0,4951000000.0,4964000000.0,4846000000.0,4575000000.0,4036000000.0
Minority Interest,907000000.0,907000000.0,910000000.0,917000000.0,134000000.0,165000000.0,167000000.0,170000000.0,173000000.0
Other Current Liab,901000000.0,939000000.0,896000000.0,1331000000.0,785000000.0,761000000.0,574000000.0,855000000.0,704000000.0
Total Assets,18676000000.0,20359000000.0,20350000000.0,20338000000.0,20081000000.0,20394000000.0,20285000000.0,19487000000.0,18352000000.0
Common Stock,112000000.0,113000000.0,113000000.0,113000000.0,114000000.0,114000000.0,114000000.0,114000000.0,114000000.0
Other Current Assets,,13000000.0,113000000.0,1340000000.0,124000000.0,205000000.0,170000000.0,215000000.0,245000000.0
Retained Earnings,7902000000.0,8223000000.0,8639000000.0,9079000000.0,9572000000.0,9957000000.0,10170000000.0,10380000000.0,9912000000.0
Other Liab,1399000000.0,1276000000.0,1414000000.0,1371000000.0,1338000000.0,1200000000.0,1039000000.0,1028000000.0,965000000.0
Good Will,2433000000.0,2463000000.0,2496000000.0,2401000000.0,2400000000.0,2492000000.0,2485000000.0,2476000000.0,2183000000.0
Treasury Stock,-7818000000.0,-7830000000.0,-7876000000.0,-7902000000.0,-7724000000.0,-8118000000.0,-8463000000.0,-8947000000.0,-9037000000.0
Other Assets,2449000000.0,2359000000.0,2457000000.0,2339000000.0,2584000000.0,2287000000.0,2167000000.0,2169000000.0,2370000000.0
Cash,2546000000.0,3528000000.0,2924000000.0,2447000000.0,2968000000.0,2875000000.0,3044000000.0,2114000000.0,1642000000.0
Total Current Liabilities,7725000000.0,9105000000.0,8330000000.0,8011000000.0,7832000000.0,8291000000.0,8510000000.0,8285000000.0,7592000000.0
Deferred Long Term Asset Charges,2172000000.0,2146000000.0,2217000000.0,2053000000.0,2072000000.0,2061000000.0,1920000000.0,1897000000.0,1769000000.0
Short Long Term Debt,298000000.0,298000000.0,298000000.0,298000000.0,298000000.0,298000000.0,298000000.0,548000000.0,248000000.0
Other Stockholder Equity,-2731000000.0,-2754000000.0,-2811000000.0,-2687000000.0,-2459000000.0,-2412000000.0,-2357000000.0,-2299000000.0,-2090000000.0
Property Plant Equipment,4037000000.0,4040000000.0,4188000000.0,3778000000.0,3718000000.0,3686000000.0,3751000000.0,3711000000.0,3512000000.0
Total Current Assets,7579000000.0,9307000000.0,9015000000.0,9838000000.0,9403000000.0,9726000000.0,9695000000.0,8968000000.0,8460000000.0
Net Tangible Assets,-1593000000.0,-1282000000.0,-891000000.0,-161000000.0,575000000.0,479000000.0,380000000.0,137000000.0,26000000.0
Net Receivables,1998000000.0,2716000000.0,3109000000.0,2997000000.0,3052000000.0,3187000000.0,3100000000.0,2860000000.0,2723000000.0
Long Term Debt,4886000000.0,4965000000.0,5059000000.0,4982000000.0,5001000000.0,4961000000.0,4929000000.0,4631000000.0,4831000000.0
Inventory,2129000000.0,2216000000.0,2187000000.0,2470000000.0,2652000000.0,2876000000.0,2717000000.0,3136000000.0,3218000000.0
Accounts Payable,3328000000.0,4179000000.0,4834000000.0,4673000000.0,4874000000.0,5127000000.0,5413000000.0,5262000000.0,5063000000.0
Long Term Investments,,,,,,210000000.0,206000000.0,201000000.0,
