,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Change To Liabilities,182000000.0,-262000000.0,-34000000.0,275000000.0
Total Cashflows From Investing Activities,690000000.0,-668000000.0,-7501000000.0,-914000000.0
Net Borrowings,-2074000000.0,223000000.0,8680000000.0,-1372000000.0
Total Cash From Financing Activities,-2480000000.0,-1236000000.0,7581000000.0,-2751000000.0
Change To Operating Activities,-206000000.0,-235000000.0,-673000000.0,125000000.0
Issuance Of Stock,208000000.0,288000000.0,161000000.0,332000000.0
Net Income,1261000000.0,846000000.0,298000000.0,158000000.0
Change In Cash,-18000000.0,38000000.0,2508000000.0,819000000.0
Repurchase Of Stock,-153000000.0,-1255000000.0,-453000000.0,-112000000.0
Effect Of Exchange Rate,31000000.0,-51000000.0,18000000.0,42000000.0
Total Cash From Operating Activities,1741000000.0,1993000000.0,2410000000.0,4442000000.0
Depreciation,828000000.0,829000000.0,1644000000.0,2652000000.0
Other Cashflows From Investing Activities,-4000000.0,-30000000.0,-90000000.0,684000000.0
Dividends Paid,-385000000.0,-421000000.0,-656000000.0,-868000000.0
Change To Account Receivables,-170000000.0,58000000.0,-144000000.0,-89000000.0
Other Cashflows From Financing Activities,-76000000.0,-71000000.0,-151000000.0,-731000000.0
Change To Netincome,-711000000.0,149000000.0,495000000.0,228000000.0
Capital Expenditures,-145000000.0,-127000000.0,-200000000.0,-263000000.0
