,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,5613000000.0,4927000000.0,19002000000.0,17298000000.0
Capital Surplus,10534000000.0,10800000000.0,45358000000.0,45947000000.0
Total Liab,13706000000.0,13548000000.0,34350000000.0,34355000000.0
Total Stockholder Equity,10711000000.0,10215000000.0,49440000000.0,49300000000.0
Minority Interest,109000000.0,7000000.0,16000000.0,187000000.0
Deferred Long Term Liab,354000000.0,475000000.0,667000000.0,917000000.0
Other Current Liab,1725000000.0,1711000000.0,5045000000.0,5815000000.0
Total Assets,24526000000.0,23770000000.0,83806000000.0,83842000000.0
Common Stock,4000000.0,4000000.0,6000000.0,6000000.0
Other Current Assets,968000000.0,981000000.0,3529000000.0,3914000000.0
Retained Earnings,4109000000.0,4528000000.0,4161000000.0,3440000000.0
Other Liab,1977000000.0,1753000000.0,6273000000.0,5590000000.0
Good Will,13730000000.0,13545000000.0,52242000000.0,53268000000.0
Treasury Stock,-3936000000.0,-5117000000.0,-85000000.0,-93000000.0
Other Assets,714000000.0,827000000.0,2264000000.0,1820000000.0
Cash,665000000.0,703000000.0,1152000000.0,1959000000.0
Total Current Liabilities,4011000000.0,3125000000.0,10382000000.0,12361000000.0
Deferred Long Term Asset Charges,30000000.0,32000000.0,38000000.0,40000000.0
Short Long Term Debt,1045000000.0,48000000.0,140000000.0,1314000000.0
Other Stockholder Equity,-332000000.0,-430000000.0,-33000000.0,57000000.0
Property Plant Equipment,610000000.0,587000000.0,1464000000.0,1421000000.0
Total Current Assets,3688000000.0,3733000000.0,8692000000.0,9898000000.0
Long Term Investments,171000000.0,151000000.0,142000000.0,137000000.0
Net Tangible Assets,-8632000000.0,-8257000000.0,-21804000000.0,-21266000000.0
Net Receivables,1802000000.0,1761000000.0,3703000000.0,3771000000.0
Long Term Debt,7718000000.0,8670000000.0,17229000000.0,15951000000.0
Accounts Payable,776000000.0,687000000.0,1386000000.0,1576000000.0
