,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,17881000000.0,17525000000.0,17298000000.0,16697000000.0,16156000000.0,15181000000.0
Capital Surplus,45736000000.0,45821000000.0,45947000000.0,46152000000.0,46274000000.0,46366000000.0
Total Liab,33409000000.0,33974000000.0,34355000000.0,33668000000.0,33709000000.0,34397000000.0
Total Stockholder Equity,49043000000.0,49031000000.0,49300000000.0,48460000000.0,48392000000.0,47105000000.0
Minority Interest,190000000.0,190000000.0,187000000.0,189000000.0,187000000.0,188000000.0
Deferred Long Term Liab,799000000.0,851000000.0,917000000.0,959000000.0,984000000.0,935000000.0
Other Current Liab,5060000000.0,5607000000.0,5815000000.0,5699000000.0,5763000000.0,6210000000.0
Total Assets,82642000000.0,83195000000.0,83842000000.0,82317000000.0,82288000000.0,81690000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,3531000000.0,3614000000.0,3914000000.0,3622000000.0,3734000000.0,4333000000.0
Retained Earnings,3753000000.0,3556000000.0,3440000000.0,2823000000.0,2921000000.0,2840000000.0
Other Liab,6418000000.0,5986000000.0,5590000000.0,6160000000.0,6153000000.0,5937000000.0
Good Will,51940000000.0,52567000000.0,53268000000.0,53069000000.0,53191000000.0,52796000000.0
Treasury Stock,-452000000.0,-352000000.0,-93000000.0,-521000000.0,-809000000.0,-2107000000.0
Other Assets,2620000000.0,2068000000.0,1820000000.0,2393000000.0,2313000000.0,2412000000.0
Cash,1183000000.0,1826000000.0,1959000000.0,1039000000.0,1301000000.0,1390000000.0
Total Current Liabilities,12117000000.0,12775000000.0,12361000000.0,11208000000.0,11494000000.0,12627000000.0
Short Long Term Debt,1777000000.0,1832000000.0,1314000000.0,602000000.0,482000000.0,463000000.0
Other Stockholder Equity,-358000000.0,-212000000.0,57000000.0,124000000.0,249000000.0,156000000.0
Property Plant Equipment,887000000.0,914000000.0,1421000000.0,863000000.0,864000000.0,846000000.0
Total Current Assets,8600000000.0,9934000000.0,9898000000.0,9105000000.0,9438000000.0,10011000000.0
Long Term Investments,714000000.0,187000000.0,137000000.0,190000000.0,326000000.0,444000000.0
Net Tangible Assets,-20778000000.0,-21061000000.0,-21266000000.0,-21306000000.0,-20955000000.0,-20872000000.0
Net Receivables,3553000000.0,3671000000.0,3771000000.0,3978000000.0,3846000000.0,3799000000.0
Long Term Debt,14874000000.0,15213000000.0,15951000000.0,16300000000.0,16062000000.0,15833000000.0
Accounts Payable,2063000000.0,2192000000.0,1576000000.0,2370000000.0,2376000000.0,2470000000.0
Deferred Long Term Asset Charges,,,40000000.0,,,
Short Term Investments,,540000000.0,,,,
