Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,253.0,255.63999900000002,251.520004,254.729996,254.729996,13562800,,
2021-06-02-00-00-00,255.6,258.4,254.62,255.62,,10820400,0.0,0.0
2021-06-03-00-00-00,252.98,254.8,249.69,250.32,,10402000,0.0,0.0
2021-06-04-00-00-00,251.51,251.8,248.49,249.92,,8799000,0.0,0.0
2021-06-07-00-00-00,251.5,253.2,248.81,252.66,,10606000,0.0,0.0
2021-06-08-00-00-00,256.26,256.31,250.0,252.76,,15113900,0.0,0.0
2021-06-09-00-00-00,251.2,253.17,247.91,248.06,,10693200,0.0,0.0
2021-06-10-00-00-00,251.72,255.14,248.1,248.34,,14519200,0.0,0.0
2021-06-11-00-00-00,250.350006,251.11999500000002,245.77999900000003,247.27999900000003,247.27999900000003,9922100,,
2021-06-14-00-00-00,246.44,249.2,244.4,245.14,,9344400,0.0,0.0
2021-06-15-00-00-00,245.36,248.51,244.94,246.54,,10630900,0.0,0.0
2021-06-16-00-00-00,245.25,246.06,241.55,242.27,,10529200,0.0,0.0
2021-06-17-00-00-00,241.96,243.5,237.33,239.22,,10774400,0.0,0.0
2021-06-18-00-00-00,237.79,239.31,235.8,237.35,,11965000,0.0,0.0
2021-06-21-00-00-00,238.66,245.62,237.25,245.28,,15301800,0.0,0.0
2021-06-22-00-00-00,244.5,244.63000499999998,241.080002,243.77999900000003,243.77999900000003,10034600,,
2021-06-23-00-00-00,244.80000299999998,246.86999500000002,243.169998,243.57000699999998,243.57000699999998,9851600,,
2021-06-24-00-00-00,245.19999700000002,250.74000499999997,243.69999700000002,250.57000699999998,250.57000699999998,13731600,,
2021-06-25-00-00-00,250.75,252.30000299999998,248.25,248.38000499999998,248.38000499999998,9613800,,
2021-06-28-00-00-00,244.729996,245.080002,238.88000499999998,239.960007,239.960007,18112100,,
2021-06-29-00-00-00,243.74,244.37,235.66,235.76,,16743900,0.0,0.0
2021-06-30-00-00-00,236.24,241.17,236.0,239.56,,12089100,0.0,0.0
