,2020-03-31,2020-06-30,2020-09-30,2020-12-31
Investments,382468000.0,-455653000.0,-327015000.0,-108488000.0
Change To Liabilities,5734000.0,2279000.0,3435000.0,8926000.0
Total Cashflows From Investing Activities,371577000.0,-492124000.0,-375250000.0,-234067000.0
Total Cash From Financing Activities,3130000.0,909059000.0,2434000.0,8168000.0
Change To Operating Activities,-1253000.0,18381000.0,48993000.0,15478000.0
Issuance Of Stock,3130000.0,20477000.0,2434000.0,8168000.0
Net Income,-305936000.0,-325951000.0,-199853000.0,-113099000.0
Change In Cash,380990000.0,350381000.0,-427644000.0,-278444000.0
Total Cash From Operating Activities,6283000.0,-66554000.0,-54828000.0,-52545000.0
Depreciation,21204000.0,20925000.0,21804000.0,22811000.0
Other Cashflows From Investing Activities,-500000.0,-500000.0,6006000.0,6006000.0
Change To Account Receivables,92892000.0,15654000.0,-151856000.0,-212508000.0
Change To Netincome,182079000.0,181746000.0,198146000.0,200924000.0
Capital Expenditures,-10891000.0,-15767000.0,-14727000.0,-16447000.0
Net Borrowings,988582000.0,988582000.0,,
Other Cashflows From Financing Activities,-100000000.0,-100000000.0,,
