,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Capital Surplus,38017000000.0,40307000000.0,42865000000.0,45160000000.0,48724000000.0,51879000000.0
Total Liab,184586000000.0,199404000000.0,227791000000.0,219757000000.0,245516000000.0,261842000000.0
Total Stockholder Equity,73728000000.0,82775000000.0,93404000000.0,103320000000.0,114803000000.0,120564000000.0
Other Current Liab,8997000000.0,9251000000.0,15267000000.0,10539000000.0,10695000000.0,10974000000.0
Total Assets,258314000000.0,282179000000.0,321195000000.0,323077000000.0,360319000000.0,382406000000.0
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0
Other Current Assets,354000000.0,239000000.0,233000000.0,299000000.0,265000000.0,218000000.0
Retained Earnings,38998000000.0,45329000000.0,52551000000.0,60658000000.0,68436000000.0,71592000000.0
Other Liab,14764000000.0,15974000000.0,17017000000.0,19418000000.0,21148000000.0,18145000000.0
Good Will,14751000000.0,14960000000.0,15017000000.0,15220000000.0,15350000000.0,15345000000.0
Treasury Stock,-3292000000.0,-2866000000.0,-2017000000.0,-2503000000.0,-2362000000.0,-2912000000.0
Other Assets,15101000000.0,16150000000.0,12097000000.0,18560000000.0,19973000000.0,22027000000.0
Cash,37466000000.0,29930000000.0,42122000000.0,33834000000.0,40380000000.0,29944000000.0
Total Current Liabilities,93896000000.0,101912000000.0,126385000000.0,115404000000.0,117792000000.0,123994000000.0
Short Long Term Debt,1154000000.0,155000000.0,1155000000.0,1156000000.0,1290000000.0,1185000000.0
Other Stockholder Equity,-1455000000.0,-1029000000.0,-180000000.0,-666000000.0,-525000000.0,-1075000000.0
Property Plant Equipment,115054000000.0,134100000000.0,150667000000.0,160789000000.0,176848000000.0,199303000000.0
Total Current Assets,110908000000.0,112969000000.0,132733000000.0,121408000000.0,140848000000.0,138531000000.0
Long Term Investments,2500000000.0,4000000000.0,5700000000.0,7100000000.0,7300000000.0,7200000000.0
Net Tangible Assets,58977000000.0,67815000000.0,73406000000.0,88100000000.0,99453000000.0,105219000000.0
Short Term Investments,33925000000.0,38472000000.0,42274000000.0,39436000000.0,49514000000.0,49044000000.0
Net Receivables,19564000000.0,20593000000.0,24309000000.0,23990000000.0,26570000000.0,28392000000.0
Long Term Debt,33128000000.0,32929000000.0,31816000000.0,31868000000.0,50279000000.0,55855000000.0
Inventory,19599000000.0,23735000000.0,23795000000.0,23849000000.0,24119000000.0,30933000000.0
Accounts Payable,51036000000.0,58334000000.0,72539000000.0,63926000000.0,66090000000.0,71474000000.0
Intangible Assets,,,4981000000.0,,,
