,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-11071000000.0,-4333000000.0,-3463000000.0,3151000000.0,-8772000000.0,577000000.0,4271000000.0,20989000000.0,2279000000.0
Change To Liabilities,8863000000.0,3736000000.0,13582000000.0,-7366000000.0,203000000.0,4170000000.0,8909000000.0,-8044000000.0,4020000000.0
Total Cashflows From Investing Activities,-17804000000.0,-15876000000.0,-17037000000.0,-8666000000.0,-22080000000.0,-14828000000.0,-12580000000.0,906000000.0,-12078000000.0
Net Borrowings,7408000000.0,-4105000000.0,-1816000000.0,-3476000000.0,15643000000.0,-2776000000.0,-3100000000.0,4656000000.0,7960000000.0
Total Cash From Financing Activities,7408000000.0,-4105000000.0,-1816000000.0,-3476000000.0,15643000000.0,-2776000000.0,-3100000000.0,1990000000.0,4626000000.0
Change To Operating Activities,1699000000.0,-310000000.0,7129000000.0,-4060000000.0,-1685000000.0,-1465000000.0,9333000000.0,-5903000000.0,-1412000000.0
Net Income,5243000000.0,6331000000.0,7222000000.0,8107000000.0,7778000000.0,3156000000.0,14323000000.0,-3844000000.0,-2028000000.0
Change In Cash,10337000000.0,-7640000000.0,12175000000.0,-8222000000.0,6512000000.0,-10490000000.0,6300000000.0,122000000.0,1101000000.0
Repurchase Of Stock,,,,,-2666000000.0,-2666000000.0,-2666000000.0,-2666000000.0,-3334000000.0
Effect Of Exchange Rate,127000000.0,377000000.0,597000000.0,-293000000.0,234000000.0,-199000000.0,-106000000.0,16000000.0,-412000000.0
Total Cash From Operating Activities,20606000000.0,11964000000.0,30431000000.0,4213000000.0,12715000000.0,7313000000.0,22086000000.0,-2790000000.0,8965000000.0
Depreciation,5748000000.0,6523000000.0,7618000000.0,7508000000.0,8038000000.0,8948000000.0,9802000000.0,8978000000.0,9594000000.0
Change To Inventory,-672000000.0,-3899000000.0,329000000.0,-304000000.0,-209000000.0,-7059000000.0,-1915000000.0,-2614000000.0,-3890000000.0
Change To Account Receivables,-2854000000.0,-2016000000.0,-4561000000.0,-2255000000.0,-4462000000.0,-4890000000.0,-6556000000.0,-1516000000.0,-6799000000.0
Change To Netincome,2579000000.0,1599000000.0,-888000000.0,2583000000.0,3052000000.0,4453000000.0,-11810000000.0,10153000000.0,9480000000.0
Capital Expenditures,-7459000000.0,-11063000000.0,-14823000000.0,-12082000000.0,-14288000000.0,-15748000000.0,-18935000000.0,-14951000000.0,-15724000000.0
