,2020-05-31,2019-05-31,2018-05-31,2017-05-31
Investments,914800000.0,-507000000.0,1372700000.0,-559300000.0
Change To Liabilities,-4900000.0,77500000.0,42900000.0,38200000.0
Total Cashflows From Investing Activities,771900000.0,-1628300000.0,998500000.0,-662200000.0
Net Borrowings,5100000.0,796300000.0,796300000.0,796300000.0
Total Cash From Financing Activities,-1488200000.0,-1008500000.0,-423800000.0,-482700000.0
Change To Operating Activities,-183900000.0,-188100000.0,-165800000.0,-232500000.0
Issuance Of Stock,21300000.0,29500000.0,29500000.0,28500000.0
Net Income,1098100000.0,1034400000.0,994100000.0,826300000.0
Change In Cash,724600000.0,-1365300000.0,1851100000.0,-184500000.0
Repurchase Of Stock,-171900000.0,-56900000.0,-143100000.0,-166200000.0
Total Cash From Operating Activities,1440900000.0,1271500000.0,1276400000.0,960400000.0
Depreciation,244100000.0,181500000.0,138000000.0,126900000.0
Other Cashflows From Investing Activities,-9800000.0,-5300000.0,-39800000.0,-8600000.0
Dividends Paid,-889400000.0,-826800000.0,-739700000.0,-662300000.0
Change To Account Receivables,55100000.0,-117200000.0,16200000.0,-103300000.0
Other Cashflows From Financing Activities,-453300000.0,-950600000.0,459000000.0,317300000.0
Change To Netincome,46300000.0,103200000.0,76300000.0,135400000.0
Capital Expenditures,-127000000.0,-123800000.0,-154000000.0,-94300000.0
