,2020-08-15,2020-11-07,2021-01-30,2021-05-14,2021-08-14,2021-11-06,2022-01-29,2022-05-21,2022-08-13
Intangible Assets,1029000000.0,1012000000.0,997000000.0,978000000.0,966000000.0,954000000.0,942000000.0,928000000.0,917000000.0
Capital Surplus,3379000000.0,3420000000.0,3461000000.0,3505000000.0,3527000000.0,3590000000.0,3657000000.0,3714000000.0,3716000000.0
Total Liab,37750000000.0,38421000000.0,39112000000.0,39582000000.0,39203000000.0,40338000000.0,39657000000.0,39698000000.0,39102000000.0
Total Stockholder Equity,9820000000.0,10070000000.0,9576000000.0,9249000000.0,9278000000.0,9519000000.0,9452000000.0,9411000000.0,9657000000.0
Minority Interest,-27000000.0,-26000000.0,-26000000.0,-20000000.0,-20000000.0,-28000000.0,-23000000.0,-18000000.0,-18000000.0
Other Current Liab,4678000000.0,4662000000.0,5441000000.0,5236000000.0,5366000000.0,5771000000.0,6029000000.0,6272000000.0,6319000000.0
Total Assets,47543000000.0,48465000000.0,48662000000.0,48811000000.0,48461000000.0,49829000000.0,49086000000.0,49091000000.0,48741000000.0
Common Stock,1918000000.0,1918000000.0,1918000000.0,1918000000.0,1918000000.0,1918000000.0,1918000000.0,1918000000.0,1918000000.0
Other Current Assets,1058000000.0,1102000000.0,1367000000.0,1011000000.0,1055000000.0,1140000000.0,1082000000.0,1110000000.0,1087000000.0
Retained Earnings,22744000000.0,23234000000.0,23018000000.0,23021000000.0,23334000000.0,23658000000.0,24066000000.0,24583000000.0,25128000000.0
Other Liab,4308000000.0,4497000000.0,4737000000.0,5013000000.0,4584000000.0,4524000000.0,4099000000.0,3948000000.0,3599000000.0
Good Will,3076000000.0,3076000000.0,3076000000.0,3076000000.0,3076000000.0,3076000000.0,3076000000.0,3076000000.0,3076000000.0
Treasury Stock,-18221000000.0,-18502000000.0,-18821000000.0,-19195000000.0,-19501000000.0,-19647000000.0,-20189000000.0,-20804000000.0,-21105000000.0
Other Assets,842000000.0,886000000.0,656000000.0,1163000000.0,980000000.0,1122000000.0,832000000.0,1387000000.0,1392000000.0
Cash,2820000000.0,2180000000.0,1687000000.0,2309000000.0,2225000000.0,2288000000.0,1821000000.0,1382000000.0,1102000000.0
Total Current Liabilities,14578000000.0,15517000000.0,15366000000.0,15210000000.0,15603000000.0,16798000000.0,16323000000.0,16238000000.0,16566000000.0
Short Long Term Debt,1046000000.0,1545000000.0,844000000.0,1049000000.0,1448000000.0,946000000.0,451000000.0,452000000.0,652000000.0
Other Stockholder Equity,-651000000.0,-621000000.0,-630000000.0,-627000000.0,-625000000.0,-491000000.0,-467000000.0,-465000000.0,-464000000.0
Property Plant Equipment,28703000000.0,28745000000.0,29182000000.0,29720000000.0,29690000000.0,29971000000.0,30484000000.0,30969000000.0,30889000000.0
Total Current Assets,12286000000.0,12946000000.0,12503000000.0,12545000000.0,12332000000.0,13380000000.0,12174000000.0,12276000000.0,11909000000.0
Long Term Investments,1607000000.0,1800000000.0,2248000000.0,1329000000.0,1417000000.0,1326000000.0,1578000000.0,455000000.0,558000000.0
Net Tangible Assets,5715000000.0,5982000000.0,5503000000.0,5195000000.0,5236000000.0,5489000000.0,5434000000.0,5407000000.0,5664000000.0
Net Receivables,1526000000.0,1610000000.0,1781000000.0,1936000000.0,1961000000.0,1914000000.0,1828000000.0,1887000000.0,1869000000.0
Long Term Debt,11564000000.0,11084000000.0,11566000000.0,11674000000.0,11270000000.0,11292000000.0,11294000000.0,11279000000.0,10673000000.0
Inventory,6344000000.0,7478000000.0,7063000000.0,6767000000.0,6541000000.0,7520000000.0,6783000000.0,7358000000.0,7315000000.0
Accounts Payable,6871000000.0,7355000000.0,6679000000.0,7015000000.0,6772000000.0,7879000000.0,7117000000.0,7556000000.0,7446000000.0
Deferred Long Term Liab,,,79000000.0,,,,151000000.0,,
Short Term Investments,,,,,,,1510000000.0,,
