,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Total Liab,72844000000.0,76469000000.0,69444000000.0,69665000000.0,71079000000.0,72572000000.0,72282000000.0,73332000000.0
Total Stockholder Equity,26484000000.0,23949000000.0,23730000000.0,24312000000.0,24163000000.0,24519000000.0,25525000000.0,25737000000.0
Deferred Long Term Liab,9438000000.0,9449000000.0,9133000000.0,8793000000.0,8763000000.0,9213000000.0,8643000000.0,8658000000.0
Other Current Liab,4319000000.0,10423000000.0,5626000000.0,4577000000.0,4781000000.0,4457000000.0,3081000000.0,3424000000.0
Total Assets,103728000000.0,104535000000.0,95905000000.0,96703000000.0,97963000000.0,99804000000.0,99590000000.0,100852000000.0
Common Stock,23984000000.0,21930000000.0,21258000000.0,21310000000.0,21369000000.0,21573000000.0,21610000000.0,21657000000.0
Other Current Assets,852000000.0,15043000000.0,2348000000.0,2629000000.0,2720000000.0,5040000000.0,2459000000.0,3869000000.0
Retained Earnings,4480000000.0,4035000000.0,4189000000.0,4673000000.0,4434000000.0,4562000000.0,5373000000.0,5516000000.0
Other Liab,26161000000.0,25237000000.0,24070000000.0,24555000000.0,24752000000.0,24517000000.0,25375000000.0,25731000000.0
Good Will,8946000000.0,7395000000.0,7381000000.0,7381000000.0,7405000000.0,7405000000.0,7405000000.0,7297000000.0
Treasury Stock,-1980000000.0,-2016000000.0,-1717000000.0,-1671000000.0,-1640000000.0,-1616000000.0,-1458000000.0,-1436000000.0
Other Assets,19712000000.0,19942000000.0,18902000000.0,20157000000.0,21008000000.0,21052000000.0,20460000000.0,21006000000.0
Cash,675000000.0,413000000.0,172000000.0,477000000.0,240000000.0,180000000.0,283000000.0,444000000.0
Total Current Liabilities,9537000000.0,17560000000.0,10843000000.0,11836000000.0,11676000000.0,13223000000.0,8673000000.0,10581000000.0
Short Long Term Debt,2799000000.0,2700000000.0,1905000000.0,2639000000.0,2096000000.0,2845000000.0,805000000.0,2551000000.0
Other Stockholder Equity,-1980000000.0,-2016000000.0,-1717000000.0,-1671000000.0,-1640000000.0,-1616000000.0,-1458000000.0,-1436000000.0
Property Plant Equipment,67980000000.0,56788000000.0,58412000000.0,58421000000.0,59226000000.0,58386000000.0,60280000000.0,60121000000.0
Total Current Assets,6124000000.0,19829000000.0,6886000000.0,6662000000.0,6923000000.0,9298000000.0,7269000000.0,8383000000.0
Long Term Investments,966000000.0,581000000.0,3559000000.0,4082000000.0,3401000000.0,3663000000.0,3392000000.0,4045000000.0
Net Tangible Assets,17538000000.0,16554000000.0,15584000000.0,16931000000.0,16758000000.0,17114000000.0,17336000000.0,18440000000.0
Net Receivables,2273000000.0,2176000000.0,2507000000.0,2080000000.0,1975000000.0,2059000000.0,2568000000.0,2505000000.0
Long Term Debt,36702000000.0,33672000000.0,33907000000.0,33274000000.0,34651000000.0,34832000000.0,37658000000.0,37020000000.0
Inventory,1735000000.0,1565000000.0,1550000000.0,1476000000.0,1538000000.0,1593000000.0,1631000000.0,1512000000.0
Accounts Payable,797000000.0,738000000.0,944000000.0,848000000.0,774000000.0,851000000.0,1197000000.0,1090000000.0
Intangible Assets,,,765000000.0,,,,784000000.0,
Minority Interest,2013000000.0,1730000000.0,344000000.0,339000000.0,334000000.0,326000000.0,,
