,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,4809800000.0,4867400000.0,4914200000.0,904100000.0
Total Liab,9372800000.0,9193400000.0,8705200000.0,3899500000.0
Total Stockholder Equity,10563400000.0,10400900000.0,10114500000.0,10114200000.0
Minority Interest,1933600000.0,1635300000.0,1401200000.0,1603300000.0
Other Current Liab,988800000.0,1005300000.0,1433000000.0,1044700000.0
Total Assets,21869800000.0,21229600000.0,20220900000.0,15617000000.0
Common Stock,50400000.0,50500000.0,49500000.0,49500000.0
Other Current Assets,4532200000.0,3672900000.0,3725700000.0,3009000000.0
Retained Earnings,10861500000.0,10665100000.0,10472600000.0,10514800000.0
Other Liab,2549100000.0,2140000000.0,2018400000.0,1017900000.0
Good Will,4516400000.0,4515200000.0,4500800000.0,2190700000.0
Treasury Stock,-348500000.0,-314700000.0,-407600000.0,-450100000.0
Other Assets,276400000.0,295200000.0,319500000.0,245500000.0
Cash,3740200000.0,3975500000.0,3026800000.0,6358700000.0
Total Current Liabilities,2765400000.0,2691100000.0,3183500000.0,1883800000.0
Other Stockholder Equity,-348500000.0,-314700000.0,-407600000.0,-450100000.0
Property Plant Equipment,1266000000.0,1324600000.0,1348600000.0,963700000.0
Total Current Assets,9567300000.0,8878500000.0,7867300000.0,10178000000.0
Long Term Investments,1433900000.0,1348700000.0,1270500000.0,1135000000.0
Net Tangible Assets,1237200000.0,1018300000.0,699500000.0,7019400000.0
Net Receivables,1294900000.0,1230100000.0,1114800000.0,810300000.0
Long Term Debt,3486500000.0,3753100000.0,3017100000.0,697200000.0
Accounts Payable,443200000.0,442400000.0,283700000.0,187300000.0
Deferred Long Term Asset Charges,,,44100000.0,19100000.0
