,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Capital Surplus,5852821000.0,5886298000.0,5916213000.0,5945024000.0,5979000000.0,6017000000.0,6058000000.0
Total Liab,16163409000.0,14834114000.0,14925692000.0,15502714000.0,15409000000.0,16004000000.0,15407000000.0
Total Stockholder Equity,21470675000.0,20387557000.0,20148326000.0,20301887000.0,20762000000.0,20881000000.0,21765000000.0
Other Current Liab,571307000.0,599452000.0,748825000.0,702768000.0,1059000000.0,1698000000.0,1224000000.0
Total Assets,37634084000.0,35221671000.0,35074018000.0,35804601000.0,36171000000.0,36885000000.0,37172000000.0
Common Stock,205824000.0,205824000.0,205837000.0,205837000.0,206000000.0,206000000.0,206000000.0
Other Current Assets,1162834000.0,363998000.0,223432000.0,358546000.0,413000000.0,513000000.0,381000000.0
Retained Earnings,15440142000.0,14312493000.0,14051197000.0,14169969000.0,14606000000.0,14689000000.0,15542000000.0
Other Liab,7155246000.0,6976592000.0,6955748000.0,6366259000.0,7003000000.0,6916000000.0,6844000000.0
Treasury Stock,-28112000.0,-17058000.0,-24921000.0,-18943000.0,-29000000.0,-31000000.0,-41000000.0
Other Assets,1448981000.0,1390815000.0,1345955000.0,474806000.0,1314000000.0,1291000000.0,1278000000.0
Cash,2906852000.0,2416501000.0,3065556000.0,3328928000.0,3388000000.0,3880000000.0,4293000000.0
Total Current Liabilities,4305011000.0,2154381000.0,3020042000.0,3460104000.0,3312000000.0,4002000000.0,3484000000.0
Deferred Long Term Asset Charges,2558000.0,1846000.0,1916000.0,2127000.0,4000000.0,3000000.0,14000000.0
Short Long Term Debt,519017000.0,21121000.0,770831000.0,750054000.0,39000000.0,39000000.0,38000000.0
Other Stockholder Equity,-3305000.0,-6130000.0,-7930000.0,-12328000.0,-14000000.0,-15000000.0,-13000000.0
Property Plant Equipment,29694054000.0,29233465000.0,28633006000.0,29467627000.0,28666000000.0,28659000000.0,28545000000.0
Total Current Assets,6491049000.0,4597391000.0,5095057000.0,5862168000.0,6191000000.0,6935000000.0,7349000000.0
Net Tangible Assets,21470675000.0,20387557000.0,20148326000.0,20301887000.0,20762000000.0,20881000000.0,21765000000.0
Net Receivables,1758965000.0,1140312000.0,1137528000.0,1545293000.0,1828000000.0,2026000000.0,2154000000.0
Long Term Debt,4703152000.0,5703141000.0,4949902000.0,4854134000.0,5094000000.0,5086000000.0,5079000000.0
Inventory,662398000.0,676580000.0,668541000.0,629401000.0,562000000.0,516000000.0,521000000.0
Accounts Payable,2892320000.0,1281166000.0,1245029000.0,1681193000.0,1945000000.0,2012000000.0,1972000000.0
