,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Capital Surplus,5536547000.0,5658794000.0,5817475000.0,5945000000.0,6087000000.0
Total Liab,13549805000.0,14570286000.0,15483892000.0,15503000000.0,16056000000.0
Total Stockholder Equity,16283273000.0,19364188000.0,21640716000.0,20302000000.0,22180000000.0
Other Current Liab,522176000.0,575421000.0,673972000.0,703000000.0,1523000000.0
Total Assets,29833078000.0,33934474000.0,37124608000.0,35805000000.0,38236000000.0
Common Stock,205788000.0,205804000.0,205822000.0,206000000.0,206000000.0
Other Current Assets,250164000.0,299273000.0,324747000.0,359000000.0,456000000.0
Retained Earnings,10593533000.0,13543130000.0,15648604000.0,14170000000.0,15919000000.0
Other Liab,4793427000.0,5671753000.0,6405985000.0,6367000000.0,6384000000.0
Treasury Stock,-52595000.0,-43540000.0,-31185000.0,-19000000.0,-32000000.0
Other Assets,888933000.0,801565000.0,713674000.0,475000000.0,483000000.0
Cash,834228000.0,1555634000.0,2027972000.0,3329000000.0,5209000000.0
Total Current Liabilities,2725542000.0,3728364000.0,4486988000.0,3460000000.0,4042000000.0
Deferred Long Term Asset Charges,17506000.0,777000.0,2363000.0,2000000.0,11000000.0
Other Stockholder Equity,-19297000.0,-1358000.0,-4652000.0,-12000000.0,-12000000.0
Property Plant Equipment,25665037000.0,28075519000.0,31137595000.0,29468000000.0,29169000000.0
Total Current Assets,3279108000.0,5057390000.0,5273339000.0,5862000000.0,8584000000.0
Net Tangible Assets,16283273000.0,19364188000.0,21640716000.0,20302000000.0,22180000000.0
Net Receivables,1710851000.0,2343124000.0,2153323000.0,1545000000.0,2335000000.0
Long Term Debt,6030836000.0,5098598000.0,4118019000.0,4854000000.0,4859000000.0
Inventory,483865000.0,859359000.0,767297000.0,629000000.0,584000000.0
Accounts Payable,1847131000.0,2239850000.0,2429127000.0,1681000000.0,2242000000.0
Short Long Term Debt,356235000.0,913093000.0,999524000.0,750000000.0,
