,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-231300000.0,342000000.0,-158200000.0,-74700000.0,-1350100000.0
Change To Liabilities,93800000.0,12500000.0,116500000.0,-84500000.0,195200000.0
Total Cashflows From Investing Activities,-647200000.0,76700000.0,-595800000.0,-531100000.0,-1722500000.0
Net Borrowings,176300000.0,-437300000.0,-10000000.0,-800000.0,-1800000.0
Total Cash From Financing Activities,-473200000.0,-1101200000.0,-115600000.0,-486900000.0,-356300000.0
Change To Operating Activities,-1500000.0,197000000.0,-167100000.0,258300000.0,-39800000.0
Issuance Of Stock,113800000.0,147000000.0,160500000.0,140500000.0,158600000.0
Net Income,583600000.0,722200000.0,1046900000.0,823400000.0,1503100000.0
Change In Cash,-111800000.0,-104300000.0,468500000.0,15800000.0,-332800000.0
Repurchase Of Stock,-763300000.0,-795500000.0,-263300000.0,-625400000.0,-512800000.0
Effect Of Exchange Rate,7900000.0,-6500000.0,-3000000.0,-20500000.0,13900000.0
Total Cash From Operating Activities,1000700000.0,926700000.0,1182900000.0,1054300000.0,1732100000.0
Depreciation,81900000.0,77400000.0,89300000.0,107200000.0,134800000.0
Other Cashflows From Investing Activities,-47500000.0,-23600000.0,-59000000.0,-49100000.0,-42600000.0
Change To Inventory,-124000000.0,-65700000.0,-105400000.0,-120600000.0,19000000.0
Change To Account Receivables,-27800000.0,-28700000.0,-88000000.0,41900000.0,-91100000.0
Other Cashflows From Financing Activities,-15400000.0,-15400000.0,-2800000.0,-1200000.0,-300000.0
Change To Netincome,101000000.0,169800000.0,247500000.0,81500000.0,-51100000.0
Capital Expenditures,-168100000.0,-238700000.0,-254400000.0,-407000000.0,-325800000.0
