,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,115800000.0,-15300000.0,-138900000.0,59400000.0,-252400000.0,-299900000.0,-857200000.0,299900000.0,266700000.0
Change To Liabilities,9100000.0,81400000.0,-30600000.0,-9300000.0,94100000.0,79300000.0,31100000.0,-109200000.0,27500000.0
Total Cashflows From Investing Activities,-10200000.0,-126300000.0,-259900000.0,-49700000.0,-329500000.0,-377400000.0,-965900000.0,229500000.0,129600000.0
Net Borrowings,-900000.0,-500000.0,900000.0,-400000.0,-1200000.0,-100000.0,-100000.0,-100000.0,-100000.0
Total Cash From Financing Activities,24100000.0,34000000.0,41400000.0,-274300000.0,-59000000.0,39000000.0,-62000000.0,-368100000.0,-308100000.0
Change To Operating Activities,382600000.0,-110300000.0,9200000.0,-27000000.0,-600000.0,-8600000.0,-3600000.0,-21300000.0,-5200000.0
Issuance Of Stock,38300000.0,36100000.0,37000000.0,31600000.0,54200000.0,38900000.0,33900000.0,37500000.0,49000000.0
Net Income,-121900000.0,325200000.0,309500000.0,338200000.0,489500000.0,340100000.0,335300000.0,373600000.0,406400000.0
Change In Cash,240600000.0,120500000.0,170900000.0,-9300000.0,135000000.0,194000000.0,-652500000.0,167900000.0,167600000.0
Repurchase Of Stock,-9000000.0,-1400000.0,-200000.0,-302600000.0,-111900000.0,-1800000.0,-96500000.0,-405600000.0,-355100000.0
Effect Of Exchange Rate,-4500000.0,-3300000.0,-10600000.0,14200000.0,-2600000.0,500000.0,1800000.0,13200000.0,13900000.0
Total Cash From Operating Activities,231200000.0,216100000.0,400000000.0,300500000.0,526100000.0,531900000.0,373600000.0,293300000.0,332200000.0
Depreciation,24500000.0,25600000.0,32600000.0,32400000.0,35800000.0,33600000.0,33000000.0,34700000.0,34100000.0
Other Cashflows From Investing Activities,-17700000.0,-7700000.0,-7500000.0,-3100000.0,-7800000.0,-16800000.0,-14900000.0,2300000.0,-94000000.0
Change To Inventory,-64000000.0,-19000000.0,-2400000.0,2500000.0,15000000.0,8100000.0,-6600000.0,-24000000.0,-61800000.0
Change To Account Receivables,25700000.0,-30700000.0,51100000.0,-89500000.0,-46400000.0,38000000.0,6800000.0,-57800000.0,-19900000.0
Other Cashflows From Financing Activities,-4300000.0,-200000.0,3700000.0,-2900000.0,-100000.0,2000000.0,700000.0,-1900000.0,-1900000.0
Change To Netincome,-1700000.0,18600000.0,17900000.0,39100000.0,-70400000.0,35600000.0,-55400000.0,14400000.0,-15700000.0
Capital Expenditures,-108300000.0,-103300000.0,-113200000.0,-106000000.0,-69300000.0,-60700000.0,-89800000.0,-72700000.0,-43100000.0
