,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Investments,-454000000.0,-153000000.0,300000000.0,300000000.0,151000000.0,100000000.0,24000000.0,8000000.0
Change To Liabilities,-250000000.0,395000000.0,0.0,327000000.0,155000000.0,657000000.0,162000000.0,724000000.0
Total Cashflows From Investing Activities,-1064000000.0,-580000000.0,-59000000.0,-59000000.0,-303000000.0,-435000000.0,-705000000.0,-456000000.0
Net Borrowings,709000000.0,-22000000.0,-500000000.0,-500000000.0,-1275000000.0,-603000000.0,-1843000000.0,-169000000.0
Total Cash From Financing Activities,684000000.0,-376000000.0,-782000000.0,-782000000.0,-1688000000.0,-1157000000.0,-2758000000.0,-713000000.0
Net Income,313000000.0,112000000.0,853000000.0,1068000000.0,2058000000.0,1760000000.0,724000000.0,1318000000.0
Change In Cash,945000000.0,-94000000.0,-302000000.0,-302000000.0,-80000000.0,515000000.0,-421000000.0,317000000.0
Repurchase Of Stock,,,-78000000.0,-78000000.0,-78000000.0,-78000000.0,-385000000.0,-217000000.0
Effect Of Exchange Rate,33000000.0,35000000.0,-32000000.0,-32000000.0,9000000.0,-36000000.0,-37000000.0,-16000000.0
Total Cash From Operating Activities,1292000000.0,827000000.0,571000000.0,571000000.0,1902000000.0,2143000000.0,3079000000.0,1502000000.0
Depreciation,356000000.0,358000000.0,335000000.0,335000000.0,330000000.0,351000000.0,201000000.0,311000000.0
Other Cashflows From Investing Activities,-22000000.0,-2000000.0,-19000000.0,-19000000.0,-23000000.0,-21000000.0,-55000000.0,-18000000.0
Dividends Paid,-350000000.0,-352000000.0,-352000000.0,-352000000.0,-378000000.0,-380000000.0,-376000000.0,-371000000.0
Change To Inventory,342000000.0,-11000000.0,-360000000.0,-360000000.0,-181000000.0,-200000000.0,-1000000.0,-117000000.0
Change To Account Receivables,483000000.0,-335000000.0,-593000000.0,-593000000.0,-909000000.0,-413000000.0,396000000.0,-629000000.0
Other Cashflows From Financing Activities,325000000.0,-2000000.0,70000000.0,70000000.0,-35000000.0,-96000000.0,-154000000.0,44000000.0
Change To Netincome,45000000.0,303000000.0,-211000000.0,-211000000.0,441000000.0,-20000000.0,1563000000.0,-109000000.0
Capital Expenditures,-588000000.0,-425000000.0,-340000000.0,-340000000.0,-431000000.0,-514000000.0,-674000000.0,-446000000.0
