,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-2765000000.0,10254000000.0,-14933000000.0,-62357000000.0,-4196000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-14895000000.0,-3969000000.0,-24990000000.0,-51122000000.0,-2795000000.0
Net Borrowings,6512000000.0,-1541000000.0,1983000000.0,-24131000000.0,-7991000000.0
Total Cash From Financing Activities,9686000000.0,-3512000000.0,17080000000.0,48419000000.0,-3432000000.0
Change To Operating Activities,-1205000000.0,2038000000.0,-779000000.0,-1553000000.0,-181000000.0
Issuance Of Stock,132000000.0,69000000.0,90000000.0,65000000.0,66000000.0
Net Income,5338000000.0,5301000000.0,5369000000.0,7517000000.0,5674000000.0
Change In Cash,370000000.0,359000000.0,-547000000.0,1956000000.0,987000000.0
Repurchase Of Stock,-2447000000.0,-2877000000.0,-3578000000.0,-1624000000.0,-1079000000.0
Total Cash From Operating Activities,5579000000.0,7840000000.0,7363000000.0,4659000000.0,7214000000.0
Depreciation,1117000000.0,1129000000.0,1315000000.0,1497000000.0,1773000000.0
Other Cashflows From Investing Activities,-1465000000.0,-7521000000.0,4194000000.0,14699000000.0,-3656000000.0
Dividends Paid,-1502000000.0,-1837000000.0,-2131000000.0,-2209000000.0,-2289000000.0
Other Cashflows From Financing Activities,6991000000.0,2674000000.0,20716000000.0,76798000000.0,6377000000.0
Change To Netincome,24000000.0,265000000.0,898000000.0,-3759000000.0,-723000000.0
