,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,4823000000.0,4858000000.0,4896000000.0,4888000000.0,4908000000.0,4940000000.0,5087000000.0,2968000000.0,5081000000.0,2902000000.0
Capital Surplus,27702000000.0,27741000000.0,27823000000.0,27928000000.0,28006000000.0,28075000000.0,28128000000.0,28258000000.0,28316000000.0,28374000000.0
Total Liab,398350000000.0,383051000000.0,423513000000.0,419581000000.0,421169000000.0,426481000000.0,401047000000.0,431659000000.0,411476000000.0,388057000000.0
Total Stockholder Equity,39165000000.0,40385000000.0,41260000000.0,40413000000.0,40740000000.0,39060000000.0,38196000000.0,36961000000.0,36146000000.0,34899000000.0
Minority Interest,269000000.0,430000000.0,319000000.0,449000000.0,513000000.0,451000000.0,357000000.0,353000000.0,161000000.0,159000000.0
Other Current Liab,7785000000.0,8875000000.0,8236000000.0,7496000000.0,9359000000.0,8549000000.0,8529000000.0,10121000000.0,8829000000.0,12810000000.0
Total Assets,442316000000.0,428398000000.0,469633000000.0,464984000000.0,466963000000.0,470533000000.0,444438000000.0,473811000000.0,452621000000.0,427953000000.0
Common Stock,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0
Other Current Assets,2750000000.0,3380000000.0,3677000000.0,3864000000.0,4809000000.0,4665000000.0,4279000000.0,467000000.0,4989000000.0,723000000.0
Retained Earnings,33224000000.0,33821000000.0,34241000000.0,34822000000.0,35540000000.0,36125000000.0,36667000000.0,37088000000.0,37644000000.0,37660000000.0
Other Liab,11837000000.0,7638000000.0,4534000000.0,7732000000.0,7601000000.0,7888000000.0,4543000000.0,10626000000.0,9071000000.0,10001000000.0
Good Will,17253000000.0,17357000000.0,17496000000.0,17469000000.0,17487000000.0,17420000000.0,17512000000.0,17462000000.0,17271000000.0,16412000000.0
Treasury Stock,-21775000000.0,-21191000000.0,-20818000000.0,-22351000000.0,-22820000000.0,-25154000000.0,-26613000000.0,-28399000000.0,-29828000000.0,-31149000000.0
Other Assets,67005000000.0,66210000000.0,66153000000.0,72244000000.0,75697000000.0,77042000000.0,78129000000.0,94223000000.0,84323000000.0,98267000000.0
Cash,41414000000.0,33751000000.0,37159000000.0,34254000000.0,34916000000.0,35249000000.0,35668000000.0,33274000000.0,28125000000.0,28190000000.0
Total Current Liabilities,361147000000.0,350092000000.0,396173000000.0,389249000000.0,389439000000.0,393550000000.0,371637000000.0,395787000000.0,374795000000.0,350236000000.0
Short Long Term Debt,3828000000.0,1220000000.0,4939000000.0,3098000000.0,1951000000.0,767000000.0,3025000000.0,312000000.0,520000000.0,357000000.0
Other Stockholder Equity,-1943000000.0,-1359000000.0,-985000000.0,-1819000000.0,-1670000000.0,-2003000000.0,-2213000000.0,-3881000000.0,-5307000000.0,-6627000000.0
Property Plant Equipment,3598000000.0,3617000000.0,3602000000.0,3521000000.0,3442000000.0,3422000000.0,3431000000.0,3359000000.0,3354000000.0,3311000000.0
Total Current Assets,191608000000.0,177565000000.0,217213000000.0,207217000000.0,205167000000.0,206594000000.0,177642000000.0,202403000000.0,187694000000.0,162880000000.0
Long Term Investments,158029000000.0,158791000000.0,160273000000.0,159645000000.0,160262000000.0,161115000000.0,162637000000.0,153396000000.0,154898000000.0,144181000000.0
Net Tangible Assets,17089000000.0,18170000000.0,18868000000.0,18056000000.0,18345000000.0,16700000000.0,15597000000.0,16531000000.0,13794000000.0,15585000000.0
Short Term Investments,128563000000.0,122321000000.0,155908000000.0,145908000000.0,143308000000.0,142815000000.0,115275000000.0,153959000000.0,137570000000.0,121317000000.0
Long Term Debt,25366000000.0,25321000000.0,21384000000.0,22600000000.0,24129000000.0,25043000000.0,23631000000.0,25246000000.0,27610000000.0,27820000000.0
Accounts Payable,305470000000.0,296312000000.0,341545000000.0,336768000000.0,338670000000.0,343139000000.0,319694000000.0,345565000000.0,325813000000.0,301989000000.0
Net Receivables,3598000000.0,3881000000.0,4218000000.0,5197000000.0,5431000000.0,4797000000.0,4716000000.0,4723000000.0,4776000000.0,
Inventory,2000000.0,1000000.0,1000000.0,2000000.0,1000000.0,1000000.0,2000000.0,2000000.0,3000000.0,
