,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-305000000.0,240000000.0,-7646007000.0,-27868085000.0,-38076906000.0,-32720564000.0
Change To Liabilities,988872000.0,8776020000.0,7572444000.0,414488000.0,1817220000.0,-1256426000.0
Total Cashflows From Investing Activities,-307301000.0,71651000.0,-7548509000.0,-28319678000.0,-38357901000.0,-35562365000.0
Net Borrowings,7970123000.0,7860903000.0,7860903000.0,7860903000.0,13930225000.0,-1875472000.0
Total Cash From Financing Activities,486538000.0,1398860000.0,17344357000.0,15854731000.0,51798996000.0,-1875154000.0
Change To Operating Activities,177710000.0,10211899000.0,10746959000.0,18994557000.0,28911011000.0,14762320000.0
Net Income,-291977000.0,-525115000.0,-10217125000.0,-6967603000.0,-7179742000.0,7768670000.0
Change In Cash,1079411000.0,11109158000.0,18110685000.0,2806171000.0,41497779000.0,-8799665000.0
Effect Of Exchange Rate,20397000.0,-47681000.0,546910000.0,450142000.0,-139943000.0,-145157000.0
Total Cash From Operating Activities,879777000.0,9686328000.0,7767927000.0,14820976000.0,28196627000.0,28783011000.0
Depreciation,756000.0,2265000.0,497003000.0,711037000.0,800468000.0,1844243000.0
Other Cashflows From Investing Activities,-159790000.0,-159790000.0,159790000.0,-459632000.0,-238000000.0,445037000.0
Change To Account Receivables,-8316000.0,-77891000.0,-159413000.0,-803388000.0,321426000.0,55811000.0
Other Cashflows From Financing Activities,-25373000.0,-15369000.0,-6000.0,-6000.0,-6000.0,318000.0
Change To Netincome,12732000.0,20871000.0,6765474000.0,2471885000.0,3526244000.0,5608393000.0
Capital Expenditures,-2301000.0,-8921000.0,-27331000.0,-27436000.0,-43046000.0,-3287232000.0
Issuance Of Stock,11879944000.0,11523631000.0,11523631000.0,7993828000.0,37868777000.0,
Repurchase Of Stock,-32677000.0,-32677000.0,,,,
