,2017-12-30,2018-12-29,2019-12-28,2020-12-26,2021-12-25
Investments,-37089000.0,10724000.0,-21399000.0,-15291000.0,-39023000.0
Change To Liabilities,-8432000.0,51455000.0,15257000.0,38350000.0,48424000.0
Total Cashflows From Investing Activities,-72586000.0,-955003000.0,-681502000.0,-601544000.0,-1437932000.0
Net Borrowings,-135579000.0,554025000.0,233873000.0,30588000.0,708236000.0
Total Cash From Financing Activities,-208476000.0,558059000.0,231937000.0,47248000.0,672598000.0
Change To Operating Activities,80492000.0,-2107000.0,20644000.0,39381000.0,46310000.0
Issuance Of Stock,38870000.0,37657000.0,34546000.0,46586000.0,45652000.0
Net Income,123355000.0,226373000.0,252019000.0,364304000.0,390982000.0
Change In Cash,46437000.0,30987000.0,42728000.0,-6927000.0,13195000.0
Repurchase Of Stock,-106909000.0,-13846000.0,-18087000.0,-23979000.0,-40707000.0
Effect Of Exchange Rate,11234000.0,-9474000.0,11357000.0,794000.0,17730000.0
Total Cash From Operating Activities,316265000.0,437405000.0,480936000.0,546575000.0,760799000.0
Depreciation,131159000.0,161779000.0,198095000.0,234924000.0,265540000.0
Other Cashflows From Investing Activities,-516000.0,-805000.0,-3888000.0,-1065000.0,264000.0
Change To Inventory,-17838000.0,-13338000.0,-21399000.0,-18379000.0,-25159000.0
Change To Account Receivables,-48279000.0,-21196000.0,-8323000.0,-85627000.0,-26633000.0
Other Cashflows From Financing Activities,-4858000.0,-19777000.0,-18395000.0,-5947000.0,-40583000.0
Change To Netincome,55808000.0,34439000.0,24643000.0,-26378000.0,61335000.0
Capital Expenditures,-82431000.0,-140054000.0,-140514000.0,-166560000.0,-228772000.0
