,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,14270000000.0,13962000000.0,13796000000.0,13535000000.0,13539000000.0,13025000000.0,12511000000.0,12312000000.0,11571000000.0
Total Liab,133512000000.0,132794000000.0,135245000000.0,127116000000.0,124747000000.0,121857000000.0,113005000000.0,114163000000.0,108027000000.0
Total Stockholder Equity,20551000000.0,21208000000.0,20597000000.0,21389000000.0,21942000000.0,22228000000.0,18901000000.0,19050000000.0,19409000000.0
Minority Interest,137000000.0,126000000.0,129000000.0,124000000.0,125000000.0,129000000.0,95000000.0,62000000.0,67000000.0
Deferred Long Term Liab,2445000000.0,2438000000.0,2449000000.0,2336000000.0,2362000000.0,2248000000.0,924000000.0,916000000.0,865000000.0
Other Current Liab,15385000000.0,14535000000.0,16925000000.0,17113000000.0,15610000000.0,14492000000.0,15000000000.0,15440000000.0,14529000000.0
Total Assets,154200000000.0,154128000000.0,155971000000.0,148629000000.0,146814000000.0,144214000000.0,132001000000.0,133275000000.0,127503000000.0
Common Stock,56135000000.0,56366000000.0,56556000000.0,56788000000.0,56912000000.0,57189000000.0,57319000000.0,57603000000.0,57802000000.0
Other Current Assets,2469000000.0,2328000000.0,2655000000.0,2751000000.0,2778000000.0,2771000000.0,2557000000.0,2311000000.0,2569000000.0
Retained Earnings,162559000000.0,162806000000.0,162717000000.0,162218000000.0,162086000000.0,161747000000.0,154209000000.0,153401000000.0,153298000000.0
Other Liab,35937000000.0,36037000000.0,37447000000.0,35989000000.0,36118000000.0,35908000000.0,32007000000.0,31204000000.0,29673000000.0
Good Will,57833000000.0,58355000000.0,59617000000.0,59984000000.0,61645000000.0,61378000000.0,55643000000.0,56106000000.0,55039000000.0
Treasury Stock,-198143000000.0,-197964000000.0,-198676000000.0,-197617000000.0,-197056000000.0,-196708000000.0,-192627000000.0,-191954000000.0,-191691000000.0
Other Assets,18500000000.0,19047000000.0,21355000000.0,19154000000.0,19417000000.0,19463000000.0,19761000000.0,18509000000.0,17880000000.0
Cash,12041000000.0,14393000000.0,13212000000.0,10531000000.0,7350000000.0,7455000000.0,6650000000.0,9934000000.0,7034000000.0
Total Current Liabilities,38442000000.0,37993000000.0,39869000000.0,36542000000.0,36616000000.0,35831000000.0,33619000000.0,34056000000.0,31844000000.0
Deferred Long Term Asset Charges,8689000000.0,8852000000.0,9241000000.0,8953000000.0,8954000000.0,8967000000.0,7370000000.0,7567000000.0,7073000000.0
Short Long Term Debt,8444000000.0,9676000000.0,6956000000.0,5162000000.0,6406000000.0,6632000000.0,6729000000.0,7677000000.0,5751000000.0
Other Stockholder Equity,-28757000000.0,-28584000000.0,-29337000000.0,-28257000000.0,-27652000000.0,-27302000000.0,-23235000000.0,-22532000000.0,-22169000000.0
Property Plant Equipment,14483000000.0,14673000000.0,14726000000.0,13935000000.0,13810000000.0,13391000000.0,8916000000.0,8666000000.0,8123000000.0
Total Current Assets,39954000000.0,39845000000.0,39165000000.0,34038000000.0,30774000000.0,29967000000.0,29539000000.0,31330000000.0,27896000000.0
Long Term Investments,1809000000.0,1823000000.0,226000000.0,2061000000.0,1955000000.0,1944000000.0,206000000.0,1742000000.0,1678000000.0
Net Tangible Assets,-51552000000.0,-51109000000.0,-52816000000.0,-52130000000.0,-53242000000.0,-52175000000.0,-49253000000.0,-49368000000.0,-47201000000.0
Short Term Investments,2063000000.0,1200000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,550000000.0,524000000.0
Net Receivables,7985000000.0,7550000000.0,8343000000.0,7767000000.0,8176000000.0,15418000000.0,8225000000.0,14396000000.0,7307000000.0
Long Term Debt,55181000000.0,54838000000.0,54156000000.0,50889000000.0,48386000000.0,46569000000.0,44854000000.0,46445000000.0,44220000000.0
Inventory,1869000000.0,1949000000.0,1839000000.0,1828000000.0,1807000000.0,1891000000.0,1649000000.0,1776000000.0,1683000000.0
Accounts Payable,4719000000.0,3985000000.0,4908000000.0,4140000000.0,4214000000.0,4248000000.0,3955000000.0,3453000000.0,3707000000.0
