,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-1341000.0,3969000.0,-62099000.0,-18349000.0,-2595000.0,-52138000.0
Change To Liabilities,117000.0,61410000.0,-10045000.0,-76362000.0,19161000.0,67169000.0
Total Cashflows From Investing Activities,-529444000.0,-603211000.0,-1339776000.0,-635684000.0,-728727000.0,-821631000.0
Net Borrowings,2142145000.0,-1998246000.0,-138808000.0,647332000.0,445744000.0,-41619000.0
Total Cash From Financing Activities,3562977000.0,-2088517000.0,-421830000.0,412654000.0,174676000.0,-266387000.0
Change To Operating Activities,18455000.0,-78069000.0,78548000.0,-163228000.0,-22905000.0,-31323000.0
Issuance Of Stock,1683106000.0,228204000.0,40034000.0,40034000.0,99599000.0,37594000.0
Net Income,133304000.0,66687000.0,50994000.0,156362000.0,68339000.0,152216000.0
Change In Cash,3620630000.0,-2141053000.0,-1040393000.0,146109000.0,50111000.0,-430357000.0
Effect Of Exchange Rate,12411000.0,18513000.0,35065000.0,-22019000.0,4965000.0,-7085000.0
Total Cash From Operating Activities,574686000.0,532162000.0,686148000.0,391158000.0,599197000.0,664746000.0
Depreciation,348593000.0,360688000.0,384550000.0,395017000.0,416241000.0,418931000.0
Dividends Paid,-236008000.0,-240690000.0,-237756000.0,-263039000.0,-258053000.0,-262362000.0
Change To Account Receivables,-29539000.0,-23871000.0,63516000.0,-17620000.0,-39709000.0,-53984000.0
Change To Netincome,91148000.0,173487000.0,117082000.0,103323000.0,209301000.0,85612000.0
Other Cashflows From Financing Activities,-26266000.0,-77785000.0,-45266000.0,-11673000.0,-112614000.0,
