,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,1040000000.0,-394000000.0,-647000000.0,-31254000000.0,-4049000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,428000000.0,-4141000000.0,-797000000.0,-31902000000.0,-7968000000.0
Net Borrowings,1040000000.0,-2134000000.0,-1840000000.0,-60000000.0,-3234000000.0
Total Cash From Financing Activities,-1786000000.0,1452000000.0,-430000000.0,31400000000.0,5111000000.0
Change To Operating Activities,435000000.0,435000000.0,-9000000.0,-843000000.0,-22000000.0
Net Income,2180000000.0,2193000000.0,2512000000.0,1427000000.0,2770000000.0
Change In Cash,122000000.0,167000000.0,597000000.0,-131000000.0,-153000000.0
Repurchase Of Stock,-1605000000.0,-1453000000.0,-1763000000.0,-1393000000.0,-1393000000.0
Total Cash From Operating Activities,1480000000.0,2856000000.0,1824000000.0,371000000.0,2704000000.0
Depreciation,341000000.0,360000000.0,472000000.0,492000000.0,349000000.0
Other Cashflows From Investing Activities,14000000.0,16000000.0,28000000.0,19000000.0,24000000.0
Dividends Paid,-505000000.0,-565000000.0,-753000000.0,-858000000.0,-897000000.0
Other Cashflows From Financing Activities,-716000000.0,5604000000.0,3684000000.0,31972000000.0,10635000000.0
Change To Netincome,-461000000.0,-324000000.0,-1011000000.0,-1054000000.0,-176000000.0
Capital Expenditures,-231000000.0,-192000000.0,-304000000.0,-358000000.0,-309000000.0
