,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,838000000.0,406000000.0,137000000.0,105000000.0,79000000.0,40000000.0,105000000.0,-94000000.0,-2993000000.0,-4236000000.0
Change To Liabilities,0.0,0.0,-366000000.0,0.0,0.0,0.0,2813000000.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,812000000.0,770000000.0,40000000.0,-329000000.0,-781000000.0,-214000000.0,-348000000.0,-430000000.0,-3484000000.0,-5528000000.0
Net Borrowings,1260000000.0,8152000000.0,-412000000.0,767000000.0,6277000000.0,-578000000.0,-575000000.0,-783000000.0,-800000000.0,-812000000.0
Total Cash From Financing Activities,2382000000.0,7905000000.0,481000000.0,1278000000.0,6276000000.0,-583000000.0,-575000000.0,-856000000.0,-798000000.0,-818000000.0
Net Income,-1627000000.0,-1841000000.0,-1897000000.0,-1357000000.0,-434000000.0,473000000.0,-646000000.0,-1377000000.0,329000000.0,942000000.0
Change In Cash,3064000000.0,6786000000.0,-1656000000.0,1396000000.0,8170000000.0,-1583000000.0,-1192000000.0,190000000.0,-1591000000.0,-5605000000.0
Total Cash From Operating Activities,-130000000.0,-1889000000.0,-2177000000.0,447000000.0,2675000000.0,-786000000.0,-269000000.0,1476000000.0,2691000000.0,741000000.0
Depreciation,618000000.0,626000000.0,457000000.0,623000000.0,620000000.0,623000000.0,437000000.0,611000000.0,611000000.0,610000000.0
Other Cashflows From Investing Activities,13000000.0,-4000000.0,10000000.0,10000000.0,1000000.0,12000000.0,-24000000.0,-13000000.0,-13000000.0,-10000000.0
Other Cashflows From Financing Activities,-13000000.0,-247000000.0,-75000000.0,-21000000.0,-1000000.0,-5000000.0,-73000000.0,-73000000.0,2000000.0,-6000000.0
Change To Netincome,879000000.0,-674000000.0,-1136000000.0,1181000000.0,2489000000.0,-1882000000.0,-1912000000.0,2242000000.0,1751000000.0,-811000000.0
Capital Expenditures,-39000000.0,368000000.0,-97000000.0,-444000000.0,-861000000.0,-266000000.0,-536000000.0,-402000000.0,-550000000.0,-1328000000.0
Change To Operating Activities,458000000.0,458000000.0,458000000.0,,-695000000.0,-695000000.0,-695000000.0,,,
Change To Account Receivables,135000000.0,135000000.0,135000000.0,,-448000000.0,-448000000.0,-448000000.0,,,
Issuance Of Stock,1135000000.0,968000000.0,968000000.0,532000000.0,,,,,,
