,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,7609000000.0,7531000000.0,7444000000.0,7362000000.0,7277000000.0,7481000000.0,7402000000.0,
Capital Surplus,24343000000.0,24359000000.0,24371000000.0,24384000000.0,24401000000.0,24425000000.0,24449000000.0,
Total Liab,30263000000.0,29422000000.0,29582000000.0,30789000000.0,31242000000.0,32066000000.0,33511000000.0,
Total Stockholder Equity,12177000000.0,12030000000.0,11734000000.0,11667000000.0,11477000000.0,11163000000.0,11388000000.0,
Minority Interest,2868000000.0,2833000000.0,2814000000.0,2771000000.0,2753000000.0,2721000000.0,2678000000.0,
Other Current Liab,27000000.0,27000000.0,192000000.0,26000000.0,26000000.0,26000000.0,375000000.0,
Total Assets,45343000000.0,44320000000.0,44165000000.0,45262000000.0,45507000000.0,45985000000.0,47612000000.0,
Common Stock,1248000000.0,1248000000.0,1248000000.0,1249000000.0,1249000000.0,1249000000.0,1250000000.0,
Other Current Assets,164000000.0,165000000.0,140000000.0,169000000.0,231000000.0,317000000.0,490000000.0,
Retained Earnings,-12197000000.0,-12376000000.0,-12748000000.0,-12825000000.0,-13022000000.0,-13361000000.0,-13237000000.0,
Other Liab,5502000000.0,5610000000.0,5651000000.0,6162000000.0,6392000000.0,6788000000.0,6748000000.0,
Treasury Stock,-1217000000.0,-1201000000.0,-1137000000.0,-1141000000.0,-1151000000.0,-1150000000.0,-1074000000.0,
Other Assets,1104000000.0,1103000000.0,1022000000.0,1198000000.0,1182000000.0,1220000000.0,1117000000.0,
Cash,1133000000.0,70000000.0,142000000.0,1126000000.0,1201000000.0,214000000.0,1680000000.0,
Total Current Liabilities,2438000000.0,1861000000.0,2319000000.0,3535000000.0,3759000000.0,4940000000.0,4972000000.0,
Short Long Term Debt,626000000.0,392000000.0,893000000.0,2142000000.0,2143000000.0,2024000000.0,2025000000.0,
Other Stockholder Equity,-176000000.0,-160000000.0,-96000000.0,-100000000.0,-110000000.0,-109000000.0,-33000000.0,
Property Plant Equipment,29137000000.0,29107000000.0,29111000000.0,29076000000.0,29299000000.0,29314000000.0,29417000000.0,
Total Current Assets,2338000000.0,1403000000.0,1429000000.0,2497000000.0,2625000000.0,2885000000.0,4549000000.0,
Long Term Investments,5155000000.0,5176000000.0,5159000000.0,5129000000.0,5124000000.0,5085000000.0,5127000000.0,
Net Tangible Assets,4568000000.0,4499000000.0,4290000000.0,4305000000.0,4200000000.0,3682000000.0,3986000000.0,
Net Receivables,907000000.0,1011000000.0,1011000000.0,1058000000.0,999000000.0,1986000000.0,2000000000.0,
Long Term Debt,22323000000.0,21951000000.0,21451000000.0,21092000000.0,21091000000.0,20338000000.0,21650000000.0,
Inventory,134000000.0,157000000.0,136000000.0,144000000.0,194000000.0,368000000.0,379000000.0,
Accounts Payable,769000000.0,464000000.0,482000000.0,538000000.0,611000000.0,1674000000.0,1746000000.0,
