,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,238000000.0,20000000.0,3000000.0,71000000.0,217000000.0,-96000000.0
Total Cashflows From Investing Activities,-107000000.0,-151000000.0,-107000000.0,-83000000.0,-111000000.0,-56000000.0
Net Borrowings,-138000000.0,,86000000.0,86000000.0,86000000.0,86000000.0
Total Cash From Financing Activities,-262000000.0,-247000000.0,-277000000.0,-420000000.0,-447000000.0,-92000000.0
Change To Operating Activities,20000000.0,-19000000.0,2000000.0,-13000000.0,-2000000.0,-14000000.0
Net Income,310000000.0,415000000.0,259000000.0,-61000000.0,97000000.0,142000000.0
Change In Cash,374000000.0,-12000000.0,-130000000.0,-240000000.0,-173000000.0,-110000000.0
Repurchase Of Stock,-23000000.0,-100000000.0,-200000000.0,-305000000.0,-300000000.0,-25000000.0
Effect Of Exchange Rate,3000000.0,3000000.0,8000000.0,-1000000.0,2000000.0,-3000000.0
Total Cash From Operating Activities,740000000.0,383000000.0,246000000.0,264000000.0,383000000.0,41000000.0
Depreciation,42000000.0,51000000.0,53000000.0,53000000.0,48000000.0,55000000.0
Other Cashflows From Investing Activities,-11000000.0,3000000.0,-25000000.0,-2000000.0,-12000000.0,-4000000.0
Dividends Paid,-134000000.0,-140000000.0,-140000000.0,-140000000.0,-138000000.0,-142000000.0
Change To Inventory,-70000000.0,-70000000.0,-70000000.0,-80000000.0,-62000000.0,-37000000.0
Change To Account Receivables,75000000.0,-8000000.0,80000000.0,-26000000.0,36000000.0,-53000000.0
Other Cashflows From Financing Activities,-7000000.0,-7000000.0,-11000000.0,-13000000.0,-13000000.0,-11000000.0
Change To Netincome,10000000.0,-36000000.0,51000000.0,298000000.0,53000000.0,20000000.0
Capital Expenditures,-96000000.0,-69000000.0,-82000000.0,-81000000.0,-99000000.0,-52000000.0
Issuance Of Stock,33000000.0,74000000.0,74000000.0,25000000.0,4000000.0,
