,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25
Total Liab,245062000000.0,258549000000.0,287830000000.0,267980000000.0,265560000000.0,287912000000.0,309259000000.0,283263000000.0,278202000000.0
Total Stockholder Equity,72282000000.0,65339000000.0,66224000000.0,69178000000.0,64280000000.0,63090000000.0,71932000000.0,67399000000.0,58107000000.0
Other Current Liab,39945000000.0,47867000000.0,55899000000.0,53255000000.0,51306000000.0,53577000000.0,57043000000.0,58168000000.0,56539000000.0
Total Assets,317344000000.0,323888000000.0,354054000000.0,337158000000.0,329840000000.0,351002000000.0,381191000000.0,350662000000.0,336309000000.0
Common Stock,48696000000.0,50779000000.0,51744000000.0,54203000000.0,54989000000.0,57365000000.0,58424000000.0,61181000000.0,62115000000.0
Other Current Assets,10987000000.0,11264000000.0,13687000000.0,13376000000.0,13641000000.0,14111000000.0,18112000000.0,15809000000.0,16386000000.0
Retained Earnings,24136000000.0,14966000000.0,14301000000.0,15261000000.0,9233000000.0,5562000000.0,14435000000.0,12712000000.0,5289000000.0
Other Liab,47606000000.0,46108000000.0,43042000000.0,39853000000.0,38354000000.0,43050000000.0,55056000000.0,52432000000.0,53629000000.0
Treasury Stock,-550000000.0,-406000000.0,179000000.0,-286000000.0,58000000.0,163000000.0,-927000000.0,-6494000000.0,-9297000000.0
Other Assets,32836000000.0,33952000000.0,43270000000.0,43339000000.0,44854000000.0,38762000000.0,50109000000.0,51959000000.0,52605000000.0
Cash,33383000000.0,38016000000.0,36010000000.0,38466000000.0,34050000000.0,34940000000.0,37119000000.0,28098000000.0,27502000000.0
Total Current Liabilities,95318000000.0,105392000000.0,132507000000.0,106385000000.0,107754000000.0,125481000000.0,147574000000.0,127508000000.0,129873000000.0
Short Long Term Debt,7509000000.0,8773000000.0,7762000000.0,8003000000.0,8039000000.0,9613000000.0,11169000000.0,9659000000.0,14009000000.0
Other Stockholder Equity,-550000000.0,-406000000.0,179000000.0,-286000000.0,58000000.0,163000000.0,-927000000.0,-6494000000.0,-9297000000.0
Property Plant Equipment,43851000000.0,45336000000.0,37933000000.0,37815000000.0,38615000000.0,49527000000.0,39245000000.0,39304000000.0,40335000000.0
Total Current Assets,140065000000.0,143713000000.0,154106000000.0,121465000000.0,114423000000.0,134836000000.0,153154000000.0,118180000000.0,112292000000.0
Long Term Investments,100592000000.0,100887000000.0,118745000000.0,134539000000.0,131948000000.0,127877000000.0,138683000000.0,141219000000.0,131077000000.0
Net Tangible Assets,72282000000.0,65339000000.0,66224000000.0,69178000000.0,64280000000.0,63090000000.0,71932000000.0,67399000000.0,58107000000.0
Short Term Investments,59642000000.0,52927000000.0,40816000000.0,31368000000.0,27646000000.0,27699000000.0,26794000000.0,23413000000.0,20729000000.0
Net Receivables,32075000000.0,37445000000.0,58620000000.0,33036000000.0,33908000000.0,51506000000.0,65253000000.0,45400000000.0,42242000000.0
Long Term Debt,94048000000.0,98667000000.0,99281000000.0,108642000000.0,105752000000.0,109106000000.0,106629000000.0,103323000000.0,94700000000.0
Inventory,3978000000.0,4061000000.0,4973000000.0,5219000000.0,5178000000.0,6580000000.0,5876000000.0,5460000000.0,5433000000.0
Accounts Payable,35325000000.0,42296000000.0,63846000000.0,40127000000.0,40409000000.0,54763000000.0,74362000000.0,52682000000.0,48343000000.0
