,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Net Income,1214000000.0,1364000000.0,1548000000.0,1199000000.0,1378000000.0,1681000000.0,1643000000.0,1436000000.0,1077000000.0,1406000000.0
Change To Liabilities,-59000000.0,90000000.0,68000000.0,155000000.0,50000000.0,149000000.0,-12000000.0,48000000.0,-166000000.0,0.0
Investments,-76000000.0,21000000.0,-23000000.0,-40000000.0,-120000000.0,-107000000.0,-223000000.0,-51000000.0,-186000000.0,
Total Cashflows From Investing Activities,-124000000.0,-19000000.0,-77000000.0,-1150000000.0,-285000000.0,-144000000.0,-358000000.0,-198000000.0,-302000000.0,
Net Borrowings,1254000000.0,8000000.0,13000000.0,13000000.0,-745000000.0,14000000.0,991000000.0,-750000000.0,-750000000.0,
Total Cash From Financing Activities,-522000000.0,138000000.0,138000000.0,-591000000.0,-1475000000.0,-629000000.0,408000000.0,-1351000000.0,-1921000000.0,
Change To Operating Activities,272000000.0,703000000.0,874000000.0,-1465000000.0,174000000.0,575000000.0,1031000000.0,-2027000000.0,155000000.0,
Change In Cash,1060000000.0,1041000000.0,2157000000.0,-2321000000.0,73000000.0,945000000.0,1962000000.0,-2061000000.0,-781000000.0,
Repurchase Of Stock,-1125000000.0,-10000000.0,-17000000.0,-568000000.0,-305000000.0,-309000000.0,-303000000.0,-936000000.0,-507000000.0,
Effect Of Exchange Rate,-1000000.0,65000000.0,117000000.0,-7000000.0,7000000.0,-56000000.0,-5000000.0,-90000000.0,-203000000.0,
Total Cash From Operating Activities,1707000000.0,995000000.0,1979000000.0,-573000000.0,1826000000.0,1774000000.0,1917000000.0,-422000000.0,1645000000.0,
Depreciation,114000000.0,117000000.0,16000000.0,97000000.0,101000000.0,107000000.0,110000000.0,100000000.0,99000000.0,
Dividends Paid,-554000000.0,-556000000.0,-554000000.0,-661000000.0,-630000000.0,-629000000.0,-627000000.0,-786000000.0,-737000000.0,
Change To Account Receivables,125000000.0,-664000000.0,231000000.0,-311000000.0,47000000.0,-263000000.0,205000000.0,-27000000.0,243000000.0,
Other Cashflows From Financing Activities,-97000000.0,558000000.0,696000000.0,625000000.0,205000000.0,295000000.0,347000000.0,371000000.0,73000000.0,
Change To Netincome,59000000.0,-654000000.0,-765000000.0,-330000000.0,96000000.0,-526000000.0,-1270000000.0,4000000.0,166000000.0,
Capital Expenditures,-48000000.0,-40000000.0,-54000000.0,-48000000.0,-130000000.0,-37000000.0,-126000000.0,-147000000.0,-116000000.0,
