,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,7313100000.0,7309300000.0,7305600000.0,7282700000.0,7267300000.0,7246600000.0,7228000000.0,7206200000.0,7174400000.0,15551800000.0
Total Liab,21408600000.0,21458700000.0,21483400000.0,19513700000.0,17457900000.0,16539300000.0,16006800000.0,15066500000.0,13499100000.0,12768400000.0
Total Stockholder Equity,9591500000.0,9923500000.0,10351300000.0,10537300000.0,10897500000.0,11069600000.0,11485300000.0,11334500000.0,11103200000.0,14903700000.0
Minority Interest,568500000.0,644800000.0,658900000.0,820000000.0,882500000.0,1194500000.0,1183000000.0,1442300000.0,1573900000.0,1599800000.0
Total Assets,35579100000.0,36037500000.0,36504100000.0,34881500000.0,33248400000.0,32813900000.0,32685600000.0,31853800000.0,30186700000.0,29271900000.0
Common Stock,113200000.0,113200000.0,113200000.0,113200000.0,113200000.0,113200000.0,113200000.0,113200000.0,113200000.0,14903700000.0
Other Current Assets,16013700000.0,16096500000.0,15969300000.0,14229600000.0,12612400000.0,11966400000.0,11719400000.0,11414800000.0,10271600000.0,9632400000.0
Other Liab,16547200000.0,16761000000.0,16506700000.0,14907500000.0,13146700000.0,12149900000.0,11794100000.0,11214100000.0,9917000000.0,11281300000.0
Other Assets,267100000.0,268500000.0,441200000.0,821800000.0,641800000.0,646400000.0,441100000.0,1058900000.0,1211500000.0,2157400000.0
Cash,987100000.0,1066600000.0,1408400000.0,1158300000.0,1333000000.0,1773200000.0,1896400000.0,1309600000.0,936800000.0,1023600000.0
Total Current Assets,17986900000.0,18304600000.0,18407300000.0,16668400000.0,15136900000.0,14871200000.0,14690000000.0,13510000000.0,11982400000.0,10656000000.0
Long Term Investments,514100000.0,561200000.0,594200000.0,620500000.0,715900000.0,659000000.0,669300000.0,731700000.0,680800000.0,906700000.0
Net Tangible Assets,-6339900000.0,-6121200000.0,-5870600000.0,-5677600000.0,-5331500000.0,-5055200000.0,-4625200000.0,-4719100000.0,-4717400000.0,-648100000.0
Long Term Debt,2407000000.0,2172000000.0,2082600000.0,2083200000.0,2083800000.0,2084500000.0,2085100000.0,1486200000.0,1671200000.0,1487100000.0
Capital Surplus,7788400000.0,7788600000.0,7811400000.0,7639600000.0,7664300000.0,7660100000.0,7688000000.0,7547000000.0,7563200000.0,
Retained Earnings,5825000000.0,5944500000.0,6085000000.0,6279900000.0,6570100000.0,6821200000.0,7169200000.0,7287900000.0,7323200000.0,
Good Will,8618300000.0,8735400000.0,8916300000.0,8932200000.0,8961700000.0,8878200000.0,8882500000.0,8847400000.0,8646200000.0,
Treasury Stock,-4135100000.0,-3922800000.0,-3658300000.0,-3495400000.0,-3450100000.0,-3524900000.0,-3485100000.0,-3613600000.0,-3896400000.0,
Total Current Liabilities,2143800000.0,2214100000.0,2656100000.0,2523000000.0,2227400000.0,2304900000.0,1915300000.0,2366200000.0,1910900000.0,
Other Stockholder Equity,-816000000.0,-647900000.0,-404500000.0,-407700000.0,-369800000.0,-477300000.0,-441500000.0,-508500000.0,-801100000.0,
Property Plant Equipment,879600000.0,858500000.0,839500000.0,555900000.0,524800000.0,512500000.0,774700000.0,499600000.0,491400000.0,
Short Term Investments,27300000.0,29700000.0,29900000.0,29300000.0,28300000.0,29100000.0,30400000.0,29300000.0,26600000.0,
Net Receivables,830200000.0,979600000.0,850500000.0,1118700000.0,1023600000.0,957700000.0,877800000.0,756300000.0,747400000.0,
Accounts Payable,1127800000.0,1086300000.0,348900000.0,1528500000.0,1466700000.0,1401700000.0,388700000.0,1271300000.0,1352900000.0,
Short Long Term Debt,,,,,,,,599500000.0,,
Other Current Liab,394200000.0,389500000.0,944700000.0,402300000.0,18300000.0,,87400000.0,,,
Deferred Long Term Asset Charges,,,5900000.0,,,,19900000.0,,,
