,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30
Investments,-1299000000.0,-11000000.0,-1325000000.0,-887000000.0,243000000.0,-451000000.0
Change To Liabilities,3756000000.0,-1408000000.0,228000000.0,-724000000.0,5780000000.0,-2544000000.0
Total Cashflows From Investing Activities,-1465000000.0,-437000000.0,-2593000000.0,-1035000000.0,94000000.0,-1047000000.0
Net Borrowings,-165000000.0,-49000000.0,-25000000.0,-13000000.0,-40000000.0,-60000000.0
Total Cash From Financing Activities,125000000.0,209000000.0,441000000.0,368000000.0,176000000.0,165000000.0
Change To Operating Activities,381000000.0,-1143000000.0,-867000000.0,-617000000.0,-885000000.0,-588000000.0
Issuance Of Stock,290000000.0,258000000.0,466000000.0,381000000.0,216000000.0,225000000.0
Net Income,-248000000.0,99000000.0,2625000000.0,1081000000.0,267000000.0,469000000.0
Change In Cash,277000000.0,1627000000.0,-1720000000.0,-328000000.0,2471000000.0,2349000000.0
Effect Of Exchange Rate,-15000000.0,-4000000.0,3000000.0,27000000.0,27000000.0,3000000.0
Total Cash From Operating Activities,1632000000.0,1859000000.0,429000000.0,339000000.0,2174000000.0,3228000000.0
Depreciation,553000000.0,499000000.0,483000000.0,670000000.0,1185000000.0,685000000.0
Change To Account Receivables,-3599000000.0,3094000000.0,-349000000.0,128000000.0,-4429000000.0,4616000000.0
Change To Netincome,480000000.0,312000000.0,-2107000000.0,-470000000.0,282000000.0,276000000.0
Capital Expenditures,-136000000.0,-323000000.0,-114000000.0,-124000000.0,-149000000.0,-171000000.0
