,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31
Intangible Assets,5210000000.0,4997000000.0,4676000000.0,4398000000.0,4114000000.0,3925000000.0,9746000000.0,9472000000.0,8978000000.0,8559000000.0,8072000000.0
Capital Surplus,32116000000.0,32739000000.0,33922000000.0,34727000000.0,35601000000.0,36232000000.0,48666000000.0,49770000000.0,50919000000.0,51780000000.0,52979000000.0
Total Liab,21241000000.0,19058000000.0,19340000000.0,18826000000.0,24808000000.0,22318000000.0,33138000000.0,30382000000.0,37078000000.0,34146000000.0,34050000000.0
Total Stockholder Equity,33885000000.0,34565000000.0,38440000000.0,40310000000.0,41493000000.0,42567000000.0,55520000000.0,57054000000.0,58131000000.0,58876000000.0,60098000000.0
Deferred Long Term Liab,1348000000.0,1171000000.0,1309000000.0,1462000000.0,1715000000.0,1770000000.0,1916000000.0,1938000000.0,2421000000.0,2389000000.0,2419000000.0
Other Current Liab,10686000000.0,9185000000.0,8805000000.0,7964000000.0,12607000000.0,11158000000.0,11067000000.0,10116000000.0,15628000000.0,13636000000.0,12825000000.0
Total Assets,55126000000.0,53623000000.0,57780000000.0,59136000000.0,66301000000.0,64885000000.0,88658000000.0,87436000000.0,95209000000.0,93022000000.0,94148000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,954000000.0,924000000.0,1055000000.0,1041000000.0,1146000000.0,1166000000.0,1211000000.0,1242000000.0,1454000000.0,1478000000.0,1531000000.0
Retained Earnings,1861000000.0,1960000000.0,4585000000.0,5666000000.0,5933000000.0,6402000000.0,6937000000.0,7405000000.0,7377000000.0,7405000000.0,7473000000.0
Other Liab,946000000.0,798000000.0,970000000.0,1146000000.0,1472000000.0,1474000000.0,2062000000.0,1741000000.0,1724000000.0,1628000000.0,1544000000.0
Good Will,25134000000.0,25266000000.0,26301000000.0,26313000000.0,26318000000.0,26640000000.0,48103000000.0,47951000000.0,47937000000.0,48319000000.0,48568000000.0
Treasury Stock,-93000000.0,-135000000.0,-68000000.0,-84000000.0,-42000000.0,-68000000.0,-84000000.0,-122000000.0,-166000000.0,-310000000.0,-355000000.0
Other Assets,1441000000.0,1244000000.0,3889000000.0,4026000000.0,4408000000.0,4377000000.0,4614000000.0,4375000000.0,4965000000.0,5016000000.0,5036000000.0
Cash,4145000000.0,5772000000.0,4052000000.0,3724000000.0,6195000000.0,8544000000.0,6299000000.0,4753000000.0,5464000000.0,6859000000.0,6931000000.0
Total Current Liabilities,14845000000.0,12843000000.0,12963000000.0,12234000000.0,17728000000.0,15323000000.0,17393000000.0,15035000000.0,21788000000.0,19899000000.0,20080000000.0
Deferred Long Term Asset Charges,,,2513000000.0,2510000000.0,2651000000.0,2607000000.0,2698000000.0,2437000000.0,2544000000.0,2627000000.0,2617000000.0
Short Long Term Debt,,4000000.0,3000000.0,4000000.0,4000000.0,4000000.0,1342000000.0,20000000.0,4000000.0,1002000000.0,1183000000.0
Other Stockholder Equity,-93000000.0,-135000000.0,-68000000.0,-84000000.0,-42000000.0,-68000000.0,-84000000.0,-122000000.0,-166000000.0,-310000000.0,-355000000.0
Property Plant Equipment,5415000000.0,5501000000.0,5513000000.0,5526000000.0,5663000000.0,5555000000.0,5834000000.0,5677000000.0,5695000000.0,5781000000.0,6102000000.0
Total Current Assets,15963000000.0,14713000000.0,14846000000.0,14946000000.0,21889000000.0,20444000000.0,16256000000.0,15957000000.0,22850000000.0,20411000000.0,21246000000.0
Long Term Investments,1963000000.0,1902000000.0,2555000000.0,3927000000.0,3909000000.0,3944000000.0,4105000000.0,4004000000.0,4784000000.0,4936000000.0,5124000000.0
Net Tangible Assets,3541000000.0,4302000000.0,7463000000.0,9599000000.0,11061000000.0,12002000000.0,-2329000000.0,-369000000.0,1216000000.0,1998000000.0,3458000000.0
Short Term Investments,3802000000.0,4030000000.0,5231000000.0,5768000000.0,5771000000.0,6479000000.0,3351000000.0,4638000000.0,5073000000.0,6644000000.0,6602000000.0
Net Receivables,6623000000.0,3530000000.0,3953000000.0,3890000000.0,7786000000.0,3174000000.0,4074000000.0,4019000000.0,9739000000.0,3952000000.0,4745000000.0
Long Term Debt,2673000000.0,2673000000.0,2673000000.0,2672000000.0,2673000000.0,2672000000.0,10589000000.0,10591000000.0,10592000000.0,9595000000.0,9416000000.0
Accounts Payable,1856000000.0,1963000000.0,2077000000.0,1893000000.0,2616000000.0,3403000000.0,4235000000.0,4187000000.0,2956000000.0,2907000000.0,3562000000.0
