,2017-01-31,2018-01-31,2019-01-31,2020-01-31,2021-01-31,2022-01-31
Intangible Assets,1294258000.0,973000000.0,2497000000.0,4724000000.0,4114000000.0,8978000000.0
Capital Surplus,8040170000.0,9752000000.0,13927000000.0,32116000000.0,35601000000.0,50919000000.0
Total Liab,10084796000.0,11608000000.0,15132000000.0,21241000000.0,24808000000.0,37078000000.0
Total Stockholder Equity,7500127000.0,10376000000.0,15605000000.0,33885000000.0,41493000000.0,58131000000.0
Deferred Long Term Liab,227849000.0,1105000000.0,1232000000.0,1348000000.0,1715000000.0,2421000000.0
Other Current Liab,6347713000.0,6995000000.0,8581000000.0,10662000000.0,12607000000.0,15628000000.0
Total Assets,17584923000.0,21984000000.0,30737000000.0,55126000000.0,66301000000.0,95209000000.0
Common Stock,708000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,338702000.0,689000000.0,830000000.0,926000000.0,1146000000.0,1454000000.0
Retained Earnings,-464910000.0,635000000.0,1735000000.0,1861000000.0,5933000000.0,7377000000.0
Other Liab,99378000.0,846000000.0,511000000.0,946000000.0,1472000000.0,1724000000.0
Good Will,7263846000.0,7314000000.0,12851000000.0,25134000000.0,26318000000.0,47937000000.0
Treasury Stock,-75841000.0,-12000000.0,-58000000.0,-93000000.0,-42000000.0,-166000000.0
Other Assets,675505000.0,1489000000.0,1353000000.0,1927000000.0,4408000000.0,4965000000.0
Cash,1606549000.0,2543000000.0,2669000000.0,4145000000.0,6195000000.0,5464000000.0
Total Current Liabilities,7295466000.0,10067000000.0,11255000000.0,14845000000.0,17728000000.0,21788000000.0
Deferred Long Term Asset Charges,28939000.0,36523000.0,,486000000.0,2651000000.0,2544000000.0
Short Long Term Debt,,1025000000.0,,4000000.0,4000000.0,4000000.0
Other Stockholder Equity,-75841000.0,-12000000.0,-58000000.0,-93000000.0,-42000000.0,-166000000.0
Property Plant Equipment,1787534000.0,1947000000.0,2051000000.0,5415000000.0,5663000000.0,5695000000.0
Total Current Assets,5996827000.0,9584000000.0,10683000000.0,15963000000.0,21889000000.0,22850000000.0
Long Term Investments,566953000.0,677000000.0,1302000000.0,1963000000.0,3909000000.0,4784000000.0
Net Tangible Assets,-1057977000.0,2089000000.0,257000000.0,4027000000.0,11061000000.0,1216000000.0
Short Term Investments,602338000.0,1978000000.0,1673000000.0,3802000000.0,5771000000.0,5073000000.0
Net Receivables,3230820000.0,3921000000.0,5139000000.0,6174000000.0,7786000000.0,9739000000.0
Long Term Debt,2008391000.0,695000000.0,3173000000.0,2673000000.0,2673000000.0,10592000000.0
Accounts Payable,115257000.0,76000000.0,2461000000.0,1876000000.0,2616000000.0,2956000000.0
