,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,9615000.0,10522000.0,12181000.0,11854000.0,12350000.0,12067000.0
Capital Surplus,503271000.0,513030000.0,519579000.0,526328000.0,535046000.0,542858000.0
Total Liab,1168006000.0,998088000.0,1100200000.0,1483765000.0,1339287000.0,1297021000.0
Total Stockholder Equity,486791000.0,589501000.0,639470000.0,657928000.0,874748000.0,985212000.0
Total Assets,1654797000.0,1587589000.0,1739670000.0,2141693000.0,2214035000.0,2282233000.0
Common Stock,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
Retained Earnings,8212000.0,98033000.0,133870000.0,137710000.0,346667000.0,451401000.0
Other Liab,58407000.0,62322000.0,65914000.0,70079000.0,68519000.0,64451000.0
Good Will,193784000.0,199360000.0,268167000.0,267914000.0,283284000.0,281300000.0
Treasury Stock,-24732000.0,-21602000.0,-14019000.0,-6150000.0,-7005000.0,-9087000.0
Other Assets,18593000.0,20396000.0,21987000.0,24456000.0,26978000.0,28878000.0
Cash,44185000.0,74749000.0,34128000.0,27078000.0,58465000.0,83475000.0
Total Current Liabilities,552116000.0,482518000.0,483249000.0,843342000.0,697734000.0,722136000.0
Short Long Term Debt,24591000.0,26537000.0,24183000.0,18281000.0,22124000.0,17052000.0
Other Stockholder Equity,-24732000.0,-21602000.0,-14019000.0,-6150000.0,-7005000.0,-9087000.0
Property Plant Equipment,294384000.0,289316000.0,314116000.0,318866000.0,332729000.0,332346000.0
Total Current Assets,1137147000.0,1066681000.0,1121927000.0,1517298000.0,1557401000.0,1626400000.0
Long Term Investments,1274000.0,1314000.0,1292000.0,1305000.0,1293000.0,1242000.0
Net Tangible Assets,283392000.0,379619000.0,359122000.0,378160000.0,579114000.0,691845000.0
Net Receivables,453405000.0,366412000.0,289200000.0,487602000.0,585566000.0,476150000.0
Long Term Debt,429246000.0,328225000.0,404149000.0,420762000.0,413058000.0,352075000.0
Inventory,628418000.0,612824000.0,780989000.0,977228000.0,894654000.0,1043407000.0
Accounts Payable,346272000.0,268412000.0,266753000.0,634998000.0,439453000.0,414156000.0
Other Current Liab,,,46553000.0,,,
Other Current Assets,,,986000.0,,,
