,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02
Intangible Assets,780172000.0,776598000.0,798649000.0,769503000.0,746073000.0,927966000.0,906328000.0,1042878000.0,952683000.0
Capital Surplus,1506901000.0,1534281000.0,1565255000.0,1594561000.0,1619995000.0,1655110000.0,1690487000.0,1737301000.0,1766305000.0
Total Liab,21435388000.0,21407570000.0,21027094000.0,20613213000.0,19826055000.0,20395418000.0,20173000000.0,20969252000.0,20671480000.0
Total Stockholder Equity,1158613000.0,1300011000.0,1426799000.0,1395597000.0,1552896000.0,1673292000.0,1221072000.0,1321409000.0,1382260000.0
Minority Interest,34265000.0,33977000.0,35958000.0,34471000.0,34588000.0,34156000.0,32690000.0,33014000.0,31948000.0
Other Current Liab,31402000.0,21160000.0,7136000.0,64820000.0,22690000.0,83210000.0,4206000.0,19533000.0,40042000.0
Total Assets,22628266000.0,22741558000.0,22489851000.0,22043281000.0,21413539000.0,22102866000.0,21426762000.0,22323675000.0,22085688000.0
Common Stock,765175000.0,765175000.0,765175000.0,765175000.0,765175000.0,765175000.0,765175000.0,765175000.0,765175000.0
Other Current Assets,1296000.0,1208000.0,21239000.0,23993000.0,28344000.0,22293000.0,8949000.0,32766000.0,53786000.0
Retained Earnings,10563008000.0,10546598000.0,10383493000.0,10241666000.0,10151706000.0,10288291000.0,10216625000.0,10279792000.0,10539722000.0
Other Liab,1291554000.0,1271238000.0,1283719000.0,1277691000.0,1283546000.0,1339528000.0,1326914000.0,1286296000.0,1218078000.0
Good Will,3732469000.0,3794152000.0,3929636000.0,3932570000.0,3944139000.0,4402354000.0,4416912000.0,4703777000.0,4542315000.0
Treasury Stock,-11676471000.0,-11546043000.0,-11287124000.0,-11205805000.0,-10983980000.0,-11035284000.0,-11451215000.0,-11460859000.0,-11688942000.0
Other Assets,537394000.0,536732000.0,693683000.0,747384000.0,911317000.0,951296000.0,1004384000.0,1030921000.0,927754000.0
Cash,6059427000.0,5985532000.0,5767034000.0,4895723000.0,3007123000.0,2067873000.0,1374276000.0,876139000.0,867086000.0
Total Current Liabilities,6717853000.0,7168067000.0,6716543000.0,7007929000.0,7319844000.0,7737982000.0,7593560000.0,8372187000.0,8750054000.0
Deferred Long Term Asset Charges,194115000.0,228234000.0,280511000.0,321674000.0,352523000.0,360193000.0,387050000.0,393302000.0,377604000.0
Short Long Term Debt,1508458000.0,1320628000.0,1366103000.0,957303000.0,458231000.0,491233000.0,487407000.0,498028000.0,541490000.0
Other Stockholder Equity,-1710881000.0,-1612386000.0,-1388169000.0,-1352446000.0,-1148764000.0,-1217937000.0,-1236258000.0,-1299004000.0,-1482054000.0
Property Plant Equipment,5062183000.0,5025904000.0,5018401000.0,4959336000.0,5035226000.0,5093938000.0,5032017000.0,5132445000.0,5179717000.0
Total Current Assets,12348232000.0,12433098000.0,11991429000.0,11586765000.0,10733567000.0,10688188000.0,10063151000.0,10413278000.0,10483219000.0
Net Tangible Assets,-3354028000.0,-3270739000.0,-3301486000.0,-3306476000.0,-3137316000.0,-3657028000.0,-4102168000.0,-4425246000.0,-4112738000.0
Net Receivables,3001557000.0,3115760000.0,2900045000.0,3222193000.0,3790269000.0,4309883000.0,4320841000.0,4824833000.0,4874846000.0
Long Term Debt,12833543000.0,12422780000.0,12463284000.0,11741114000.0,10536902000.0,10645443000.0,10593390000.0,10608840000.0,9879706000.0
Inventory,3095085000.0,3134732000.0,3100478000.0,3218827000.0,3695219000.0,4054844000.0,4115683000.0,4409094000.0,4437498000.0
Accounts Payable,3447065000.0,4035332000.0,3554624000.0,4221252000.0,4884781000.0,5238313000.0,5019052000.0,5721705000.0,5752958000.0
Long Term Investments,167816000.0,175074000.0,58053000.0,47723000.0,43217000.0,39124000.0,3970000.0,376000.0,
Short Term Investments,18233000.0,17762000.0,,,,,,,
