,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Net Income,172000000.0,209000000.0,312000000.0,355000000.0,307000000.0,429000000.0,446000000.0,323000000.0
Change To Liabilities,-1316000000.0,865000000.0,4953000000.0,518000000.0,-798000000.0,2611000000.0,5021000000.0,0.0
Investments,-1213000000.0,-2119000000.0,-180000000.0,-507000000.0,233000000.0,-614000000.0,-323000000.0,
Total Cashflows From Investing Activities,-930000000.0,-1965000000.0,-1123000000.0,-1314000000.0,-720000000.0,-1983000000.0,-1555000000.0,
Net Borrowings,-2000000.0,-1000000.0,-26000000.0,-2000000.0,-108000000.0,-2000000.0,-1000000.0,
Total Cash From Financing Activities,-4693000000.0,1335000000.0,908000000.0,1361000000.0,880000000.0,2105000000.0,1497000000.0,
Change To Operating Activities,415000000.0,213000000.0,-3576000000.0,-1735000000.0,2069000000.0,1367000000.0,-7989000000.0,
Issuance Of Stock,12000000.0,7000000.0,18000000.0,14000000.0,10000000.0,11000000.0,17000000.0,
Change In Cash,-5856000000.0,797000000.0,1762000000.0,-1121000000.0,1589000000.0,4585000000.0,-2342000000.0,
Repurchase Of Stock,-50000000.0,-50000000.0,-18000000.0,-61000000.0,-48000000.0,-1000000.0,-51000000.0,
Effect Of Exchange Rate,55000000.0,28000000.0,73000000.0,20000000.0,21000000.0,-38000000.0,3000000.0,
Total Cash From Operating Activities,-288000000.0,1399000000.0,1904000000.0,-1188000000.0,1408000000.0,4501000000.0,-2287000000.0,
Depreciation,30000000.0,-23000000.0,32000000.0,32000000.0,33000000.0,-25000000.0,35000000.0,
Other Cashflows From Investing Activities,-21000000.0,-23000000.0,-12000000.0,1000000.0,24000000.0,-5000000.0,-151000000.0,
Dividends Paid,-51000000.0,-51000000.0,-55000000.0,-54000000.0,-54000000.0,-55000000.0,-60000000.0,
Change To Account Receivables,329000000.0,1000000.0,254000000.0,-377000000.0,-302000000.0,5000000.0,197000000.0,
Other Cashflows From Financing Activities,-4652000000.0,1430000000.0,989000000.0,1464000000.0,1080000000.0,2152000000.0,1592000000.0,
Change To Netincome,82000000.0,80000000.0,-71000000.0,19000000.0,99000000.0,52000000.0,3000000.0,
Capital Expenditures,-26000000.0,-27000000.0,-25000000.0,-37000000.0,-37000000.0,25000000.0,-19000000.0,
