Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,111.040001,114.989998,110.41999799999999,113.529999,113.529999,5227300,,
2021-06-02-00-00-00,114.25,115.9,110.18,111.93,,4687800,0.0,0.0
2021-06-03-00-00-00,109.59,109.59,105.11,105.24,,3504200,0.0,0.0
2021-06-04-00-00-00,106.78,109.25,105.63,108.93,,2446300,0.0,0.0
2021-06-07-00-00-00,106.21,107.25,103.51,104.63,,2439200,0.0,0.0
2021-06-08-00-00-00,105.15,108.96,105.15,107.75,,2754200,0.0,0.0
2021-06-09-00-00-00,108.65,111.06,107.01,107.04,,1922000,0.0,0.0
2021-06-10-00-00-00,107.5,112.5,106.31,112.21,,3523800,0.0,0.0
2021-06-11-00-00-00,110.620003,112.11799599999999,109.910004,111.410004,111.410004,2706700,,
2021-06-14-00-00-00,111.51,116.79,111.5,115.45,,3611500,0.0,0.0
2021-06-15-00-00-00,113.7,114.05,110.65,111.11,,1971200,0.0,0.0
2021-06-16-00-00-00,108.78,112.12,108.5,111.45,,2765600,0.0,0.0
2021-06-17-00-00-00,110.56,114.99,110.4,114.39,,2539300,0.0,0.0
2021-06-18-00-00-00,114.97,119.19,114.56,118.38,,10606000,0.0,0.0
2021-06-21-00-00-00,117.11,117.75,111.83,113.58,,3092100,0.0,0.0
2021-06-22-00-00-00,111.269997,111.269997,108.599998,110.129997,110.129997,4683400,,
2021-06-23-00-00-00,110.5,116.989998,110.199997,114.360001,114.360001,2866700,,
2021-06-24-00-00-00,115.41999799999999,121.989998,115.41999799999999,121.589996,121.589996,4583800,,
2021-06-25-00-00-00,122.495003,128.699997,121.260002,124.449997,124.449997,7135800,,
2021-06-28-00-00-00,127.5,129.240005,123.540001,126.849998,126.849998,2692700,,
2021-06-29-00-00-00,124.34,126.96,121.83,125.56,,2772200,0.0,0.0
2021-06-30-00-00-00,123.6,124.11,121.7,121.84,,1667600,0.0,0.0
