,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,2697900000.0,2674100000.0,3110200000.0,3079400000.0,3049200000.0,3018800000.0,3494300000.0,3464700000.0
Capital Surplus,302800000.0,302000000.0,274400000.0,306200000.0,320500000.0,327900000.0,310300000.0,334200000.0
Total Liab,3920200000.0,3866700000.0,4394100000.0,4169700000.0,3991300000.0,3868400000.0,4763300000.0,4538300000.0
Total Stockholder Equity,2998800000.0,3210300000.0,3020400000.0,3211200000.0,3377200000.0,3513600000.0,3233200000.0,3402900000.0
Other Current Liab,88500000.0,14500000.0,12700000.0,145700000.0,55500000.0,7400000.0,3300000.0,59700000.0
Total Assets,6919000000.0,7077000000.0,7414500000.0,7380900000.0,7368500000.0,7382000000.0,7996500000.0,7941200000.0
Common Stock,292800000.0,292800000.0,292800000.0,292800000.0,292800000.0,292800000.0,292800000.0,292800000.0
Other Current Assets,25000000.0,24900000.0,35100000.0,37200000.0,36900000.0,37100000.0,51900000.0,41500000.0
Retained Earnings,4538800000.0,4695400000.0,4786000000.0,4944800000.0,5101200000.0,5269600000.0,5366000000.0,5506700000.0
Other Liab,962900000.0,936400000.0,967700000.0,917100000.0,942200000.0,915700000.0,930800000.0,912900000.0
Good Will,2078200000.0,2078200000.0,2229600000.0,2229600000.0,2229800000.0,2230600000.0,2274500000.0,2273800000.0
Treasury Stock,-2135600000.0,-2079900000.0,-2332800000.0,-2332600000.0,-2337300000.0,-2376700000.0,-2735900000.0,-2730800000.0
Other Assets,130000000.0,136400000.0,158800000.0,159000000.0,165000000.0,164300000.0,173100000.0,162500000.0
Cash,451700000.0,549100000.0,183100000.0,127500000.0,149800000.0,180000000.0,240600000.0,174400000.0
Total Current Liabilities,996600000.0,971900000.0,1388600000.0,1274300000.0,1376100000.0,1584400000.0,2075200000.0,1871600000.0
Short Long Term Debt,,,,,200000000.0,299600000.0,741000000.0,699700000.0
Other Stockholder Equity,-98300000.0,-90800000.0,-77600000.0,-54600000.0,-65800000.0,-60900000.0,-68200000.0,-53200000.0
Property Plant Equipment,725600000.0,734400000.0,794400000.0,791200000.0,785900000.0,782500000.0,812100000.0,807600000.0
Total Current Assets,1276700000.0,1444500000.0,1112400000.0,1111800000.0,1128700000.0,1176800000.0,1233400000.0,1221800000.0
Long Term Investments,10600000.0,9400000.0,9100000.0,9900000.0,9900000.0,9000000.0,9100000.0,10800000.0
Net Tangible Assets,-1777300000.0,-1542000000.0,-2319400000.0,-2097800000.0,-1901800000.0,-1735800000.0,-2535600000.0,-2335600000.0
Net Receivables,344500000.0,372800000.0,398800000.0,405800000.0,386200000.0,407000000.0,405500000.0,407100000.0
Long Term Debt,1811400000.0,1811900000.0,1869500000.0,1813100000.0,1513800000.0,1214800000.0,1610700000.0,1611200000.0
Inventory,455500000.0,497700000.0,495400000.0,541300000.0,555800000.0,552700000.0,535400000.0,598800000.0
Accounts Payable,516700000.0,580800000.0,588100000.0,547300000.0,566800000.0,617500000.0,663800000.0,655000000.0
